trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,,,,
cP1M1,0.8603,0,8.0332,2.3484,35800,,cP1M1,0.6978,0,11.8136,3.513,76740,,0.1625,0,-3.7804,-1.1646
cP1M2,0.9047,0,13.5797,3.7486,35570,,cP1M2,0.9036,0,13.66,4.0313,35570,,0.0011,0,-0.0803,-0.2827
cP1M3,0.8018,0,23.422,10.9133,1440,,cP1M3,0.7871,0,24.2781,11.8866,14960,,0.0147,0,-0.8561,-0.9733
cP1M4,0.8243,0,6.0065,3.4159,37570,,cP1M4,0.8311,0,5.8892,3.3097,22450,,-0.0068,0,0.1173,0.1062
cP1M5,0,0.8637,5.9037,7.9466,52780,,cP1M5,0,0.8991,6.0477,6.8375,52780,,0,-0.0354,-0.144,1.1091
cP1M6,0,0.8664,5.9149,15.7479,77740,,cP1M6,0,0.8179,7.6913,18.3879,77260,,0,0.0485,-1.7764,-2.64
cP1M7,0.8435,0.9021,8.6004,6.8039,35710,,cP1M7,0.7341,0.8528,11.2121,8.3423,35710,,0.1094,0.0493,-2.6117,-1.5384
cP1M8,0.7989,0.8371,19.6034,17.6431,1080,,cP1M8,0.7744,0.7552,20.7641,21.6285,14620,,0.0245,0.0819,-1.1607,-3.9854
cP1M9,0,0,6.9966,2.259,NaN,,cP1M9,0,0,7.1052,2.9655,NaN,,0,0,-0.1086,-0.7065
cP2M1,-0.728,0,28.8768,1.8704,60870,,cP2M1,-0.8539,0,29.9108,2.4904,30390,,0.1259,0,-1.034,-0.62
cP2M2,0.5726,0,28.3225,13.903,650,,cP2M2,0.5405,0,29.368,16.564,1110,,0.0321,0,-1.0455,-2.661
cP2M3,0.8149,0,22.3656,22.2409,35510,,cP2M3,0.8316,0,21.3328,26.5624,1180,,-0.0167,0,1.0328,-4.3215
cP2M4,0.9188,0,3.9649,1.5905,30030,,cP2M4,0.8596,0,5.2136,1.8656,930,,0.0592,0,-1.2487,-0.2751
cP2M5,0,0.5687,8.908,14.3,7510,,cP2M5,0,0.3093,11.397,18.096,37530,,0,0.2594,-2.489,-3.796
cP2M6,0,0.7844,25.119,20.3109,35710,,cP2M6,0,0.7082,39.1241,23.6322,20920,,0,0.0762,-14.0051,-3.3213
cP2M7,0.5145,0.3472,15.1944,17.6178,35580,,cP2M7,0.3641,0.1929,17.3889,19.5908,35580,,0.1504,0.1543,-2.1945,-1.973
cP2M8,0.8275,0.2947,18.2738,36.9489,35560,,cP2M8,0.851,0.3926,16.9843,34.2877,13590,,-0.0235,-0.0979,1.2895,2.6612
cP2M9,0,0,2.8021,1.3571,NaN,,cP2M9,0,0,3.4095,2.2109,NaN,,0,0,-0.6074,-0.8538
cP3M1,-0.2996,0,25.1724,5.8142,35710,,cP3M1,-0.6017,0,27.9459,4.2584,35710,,0.3021,0,-2.7735,1.5558
cP3M2,0.4367,0,33.1129,22.7064,35640,,cP3M2,0.5752,0,28.7553,24.6553,37400,,-0.1385,0,4.3576,-1.9489
cP3M3,0.6872,0,30.0016,22.1291,21480,,cP3M3,0.8019,0,23.8729,24.6989,14750,,-0.1147,0,6.1287,-2.5698
cP3M4,0.7375,0,7.3153,1.8643,29910,,cP3M4,0.7869,0,6.5917,2.0745,30000,,-0.0494,0,0.7236,-0.2102
cP3M5,0,0.5025,11.0984,15.414,37300,,cP3M5,0,-0.0953,7.4278,22.8726,110,,0,0.5978,3.6706,-7.4586
cP3M6,0,0.5859,29.0059,28.2984,22450,,cP3M6,0,0.6315,36.1317,26.6931,27850,,0,-0.0456,-7.1258,1.6053
cP3M7,0.4673,0.5492,15.9863,14.7061,35590,,cP3M7,0.473,0.3873,15.8998,17.1436,35590,,-0.0057,0.1619,0.0865,-2.4375
cP3M8,0.6721,0.4029,25.0937,33.8633,35750,,cP3M8,0.8038,0.4627,19.4107,32.1206,34700,,-0.1317,-0.0598,5.683,1.7427
cP3M9,0,0,7.1742,2.4711,NaN,,cP3M9,0,0,4.0552,2.5898,NaN,,0,0,3.119,-0.1187
cP4M1,0.6985,0,11.8338,3.0978,3810,,cP4M1,0.6668,0,12.4401,5.9233,32750,,0.0317,0,-0.6063,-2.8255
cP4M2,0.7937,0,19.4229,11.5372,32370,,cP4M2,0.7616,0,20.8808,11.02,32370,,0.0321,0,-1.4579,0.5172
cP4M3,0.8252,0,21.5927,8.2537,32620,,cP4M3,0.7927,0,23.5119,9.5692,32620,,0.0325,0,-1.9192,-1.3155
cP4M4,0.8742,0,5.0241,2.3944,32560,,cP4M4,0.7321,0,7.331,4.3965,32560,,0.1421,0,-2.3069,-2.0021
cP4M5,0,0.8292,3.4031,8.8861,32500,,cP4M5,0,0.8541,3.5953,8.2141,32500,,0,-0.0249,-0.1922,0.672
cP4M6,0,0.8493,11.4168,16.448,32600,,cP4M6,0,0.8608,6.7679,15.8079,32600,,0,-0.0115,4.6489,0.6401
cP4M7,0.656,0.5333,12.7484,14.8478,32050,,cP4M7,0.7321,0.4052,11.2507,16.7626,32050,,-0.0761,0.1281,1.4977,-1.9148
cP4M8,0.7802,0.7936,19.9607,19.3394,7570,,cP4M8,0.4498,0.7177,31.5789,22.6212,32590,,0.3304,0.0759,-11.6182,-3.2818
cP4M9,0,0,0.9462,1.2335,NaN,,cP4M9,0,0,0.8243,1.6805,NaN,,0,0,0.1219,-0.447
cP6M2,-0.107,0,44.2845,13.0271,12280,,cP6M2,0.042,0,41.196,3.6424,1040,,-0.149,0,3.0885,9.3847
cP6M3,0.111,0,44.9641,27.4184,17200,,cP6M3,0.5756,0,31.0652,8.7595,8440,,-0.4646,0,13.8989,18.6589
cP6M4,-0.3644,0,15.2869,5.7179,13980,,cP6M4,-3.1291,0,26.5931,3.1928,8560,,2.7647,0,-11.3062,2.5251
cP6M5,0,0.417,12.3111,14.0562,34380,,cP6M5,0,0.4641,27.1438,13.4771,21300,,0,-0.0471,-14.8327,0.5791
cP6M6,0,-0.0667,16.5102,38.4161,34280,,cP6M6,0,-0.0196,27.7966,37.5591,34320,,0,-0.0471,-11.2864,0.857
cP6M7,-0.6807,0.1803,25.2055,17.6024,35060,,cP6M7,0.5465,-0.1916,13.0932,21.2232,34960,,-1.2272,0.3719,12.1123,-3.6208
cP6M8,-0.003,0.2194,39.2281,34.607,38400,,cP6M8,0.5491,-0.0852,26.3031,40.8046,16620,,-0.5521,0.3046,12.925,-6.1976
cP6M9,0,0,5.2512,3.3577,NaN,,cP6M9,0,0,3.3972,1.8886,NaN,,0,0,1.854,1.4691
