trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms
cP1M1,0.6978,0.0000,11.8136,3.5130,76740.00
cP1M2,0.9036,0.0000,13.6600,4.0313,35570.00
cP1M3,0.7871,0.0000,24.2781,11.8866,14960.00
cP1M4,0.8311,0.0000,5.8892,3.3097,22450.00
cP1M5,0.0000,0.8991,6.0477,6.8375,52780.00
cP1M6,0.0000,0.8179,7.6913,18.3879,77260.00
cP1M7,0.7341,0.8528,11.2121,8.3423,35710.00
cP1M8,0.7744,0.7552,20.7641,21.6285,14620.00
cP1M9,0.0000,0.0000,7.1052,2.9655,NaN
cP2M1,-0.8539,0.0000,29.9108,2.4904,30390.00
cP2M2,0.5405,0.0000,29.3680,16.5640,1110.00
cP2M3,0.8316,0.0000,21.3328,26.5624,1180.00
cP2M4,0.8596,0.0000,5.2136,1.8656,930.00
cP2M5,0.0000,0.3093,11.3970,18.0960,37530.00
cP2M6,0.0000,0.7082,39.1241,23.6322,20920.00
cP2M7,0.3641,0.1929,17.3889,19.5908,35580.00
cP2M8,0.8510,0.3926,16.9843,34.2877,13590.00
cP2M9,0.0000,0.0000,3.4095,2.2109,NaN
cP3M1,-0.6017,0.0000,27.9459,4.2584,35710.00
cP3M2,0.5752,0.0000,28.7553,24.6553,37400.00
cP3M3,0.8019,0.0000,23.8729,24.6989,14750.00
cP3M4,0.7869,0.0000,6.5917,2.0745,30000.00
cP3M5,0.0000,-0.0953,7.4278,22.8726,110.00
cP3M6,0.0000,0.6315,36.1317,26.6931,27850.00
cP3M7,0.4730,0.3873,15.8998,17.1436,35590.00
cP3M8,0.8038,0.4627,19.4107,32.1206,34700.00
cP3M9,0.0000,0.0000,4.0552,2.5898,NaN
cP4M1,0.6668,0.0000,12.4401,5.9233,32750.00
cP4M2,0.7616,0.0000,20.8808,11.0200,32370.00
cP4M3,0.7927,0.0000,23.5119,9.5692,32620.00
cP4M4,0.7321,0.0000,7.3310,4.3965,32560.00
cP4M5,0.0000,0.8541,3.5953,8.2141,32500.00
cP4M6,0.0000,0.8608,6.7679,15.8079,32600.00
cP4M7,0.7321,0.4052,11.2507,16.7626,32050.00
cP4M8,0.4498,0.7177,31.5789,22.6212,32590.00
cP4M9,0.0000,0.0000,0.8243,1.6805,NaN
cP6M2,0.0420,0.0000,41.1960,3.6424,1040.00
cP6M3,0.5756,0.0000,31.0652,8.7595,8440.00
cP6M4,-3.1291,0.0000,26.5931,3.1928,8560.00
cP6M5,0.0000,0.4641,27.1438,13.4771,21300.00
cP6M6,0.0000,-0.0196,27.7966,37.5591,34320.00
cP6M7,0.5465,-0.1916,13.0932,21.2232,34960.00
cP6M8,0.5491,-0.0852,26.3031,40.8046,16620.00
cP6M9,0.0000,0.0000,3.3972,1.8886,NaN
cP7M2,0.3825,0.0000,32.3581,14.8910,39200.00
cP7M3,0.5077,0.0000,35.4858,22.3840,21280.00
cP7M4,-5.4826,0.0000,33.2153,2.3200,29880.00
cP7M5,0.0000,-0.3794,12.4435,24.1268,29880.00
cP7M6,0.0000,0.3575,30.7963,33.1888,960.00
cP7M7,0.1053,-0.4197,19.0314,23.9735,240.00
cP7M8,0.4433,-0.2367,29.8702,44.5196,34680.00
cP7M9,0.0000,0.0000,14.9648,2.1444,NaN
cP8M1,0.5383,0.0000,14.1039,1.9200,34980.00
cP8M9,0.0000,0.0000,0.4641,0.6037,NaN
cP9M1,0.6166,0.0000,12.8580,2.1734,21860.00
cP9M2,0.6459,0.0000,24.5817,2.4822,22060.00
cP9M3,0.4281,0.0000,38.1012,2.5494,31020.00
cP9M4,-19.2104,0.0000,37.5873,2.1886,22520.00
cP9M5,0.0000,-0.7085,7.0568,27.5603,9060.00
cP9M6,0.0000,-0.1646,14.6150,44.9258,8800.00
cP9M7,0.0097,-0.6223,20.5843,26.3455,28440.00
cP9M8,0.3309,-0.5726,33.7648,51.7631,17420.00
cP9M9,0.0000,0.0000,3.0991,1.7247,NaN
