trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,,,,
sP1M2,0.7023,0,19.2008,9.5763,39700,,sP1M2,0.8454,0,13.8373,11.5328,39700,,-0.1431,0,5.3635,-1.9565
sP1M3,0.5505,0,31.3909,15.0336,31900,,sP1M3,0.8119,0,20.3073,16.9373,31900,,-0.2614,0,11.0836,-1.9037
sP1M4,-2.4781,0,22.4389,5.139,20820,,sP1M4,0.5707,0,7.8829,1.896,10280,,-3.0488,0,14.556,3.243
sP1M6,0,0.7638,7.7395,18.3281,21860,,sP1M6,0,0.9419,6.1547,9.0914,10000,,0,-0.1781,1.5848,9.2367
sP1M7,0.3516,0.6385,10.2104,7.6244,44790,,sP1M7,0.4782,0.5465,9.1598,8.539,11960,,-0.1266,0.092,1.0506,-0.9146
sP1M8,0.5263,0.6635,26.0245,21.9345,16860,,sP1M8,0.7884,0.8971,17.3933,12.1298,16880,,-0.2621,-0.2336,8.6312,9.8047
sP2M1,-1.5631,0,12.4189,19.8466,44180,,sP2M1,-5.8949,0,20.3689,20.6295,28000,,4.3318,0,-7.95,-0.7829
sP2M2,0.6261,0,19.5432,16.8504,37490,,sP2M2,0.8135,0,13.8002,18.2756,8460,,-0.1874,0,5.743,-1.4252
sP2M3,0.4961,0,29.3417,15.7319,33180,,sP2M3,0.7753,0,19.5918,18.4366,1060,,-0.2792,0,9.7499,-2.7047
sP2M4,-3.8504,0,23.9397,9.4824,1020,,sP2M4,-0.2501,0,12.1536,3.6016,1740,,-3.6003,0,11.7861,5.8808
sP2M5,0,0.7118,9.9768,9.4668,24200,,sP2M5,0,0.7326,5.0602,9.119,30900,,0,-0.0208,4.9166,0.3478
sP2M6,0,0.6029,18.0763,23.1992,15060,,sP2M6,0,0.831,22.9433,15.1344,15080,,0,-0.2281,-4.867,8.0648
sP2M7,0.6169,0.6329,8.1901,8.0171,39960,,sP2M7,0.5687,0.6648,8.6906,7.6616,47440,,0.0482,-0.0319,-0.5005,0.3555
sP2M8,0.3673,0.3454,28.2568,28.7407,32280,,sP2M8,0.7168,0.5814,18.9029,22.9826,32280,,-0.3495,-0.236,9.3539,5.7581
sP3M1,-1.363,0,13.0717,5.3729,31720,,sP3M1,-3.3245,0,17.6834,6.9838,30820,,1.9615,0,-4.6117,-1.6109
sP3M2,0.4668,0,24.0759,11.4338,8400,,sP3M2,0.7736,0,15.6894,17.967,29760,,-0.3068,0,8.3865,-6.5332
sP3M3,0.4753,0,31.3508,13.2173,3630,,sP3M3,0.75,0,21.6414,18.5275,37350,,-0.2747,0,9.7094,-5.3102
sP3M5,0,0.6678,6.5451,10.714,4520,,sP3M5,0,0.7368,3.5099,9.5365,28700,,0,-0.069,3.0352,1.1775
sP3M8,0.3715,-0.0519,28.6008,37.001,30660,,sP3M8,0.6939,0.3929,19.959,28.1088,30660,,-0.3224,-0.4448,8.6418,8.8922
sP4M1,-2.9633,0,16.2848,11.0816,41240,,sP4M1,-4.7716,0,19.6519,10.9579,32260,,1.8083,0,-3.3671,0.1237
sP4M2,0.5613,0,20.4462,13.1226,8860,,sP4M2,0.7438,0,15.6246,16.1249,40740,,-0.1825,0,4.8216,-3.0023
sP4M3,0.5845,0,27.0631,12.5885,5070,,sP4M3,0.7807,0,19.6597,15.0725,40740,,-0.1962,0,7.4034,-2.484
sP4M5,0,0.6114,10.3638,7.5206,27980,,sP4M5,0,0.4816,11.3541,8.6869,9480,,0,0.1298,-0.9903,-1.1663
sP4M7,-1.1153,-2.6085,9.7982,12.7974,29140,,sP4M7,-3.9585,-2.9512,15.0016,13.3914,49900,,2.8432,0.3427,-5.2034,-0.594
sP4M8,0.2252,-0.1614,27.3754,33.517,33060,,sP4M8,0.731,0.1765,16.1298,28.2232,33060,,-0.5058,-0.3379,11.2456,5.2938
sP5M2,0.5925,0,21.106,2.8622,17430,,sP5M2,0.8674,0,12.0405,4.7937,9470,,-0.2749,0,9.0655,-1.9315
sP5M3,0.7034,0,23.0343,6.2574,11290,,sP5M3,0.8551,0,16.1021,7.1757,5240,,-0.1517,0,6.9322,-0.9183
sP5M4,-2.2314,0,21.3702,8.6736,36000,,sP5M4,0.3467,0,9.6086,5.4086,8740,,-2.5781,0,11.7616,3.265
sP5M5,0,0.6887,4.4742,10.3906,32310,,sP5M5,0,0.8295,3.7092,7.6884,29340,,0,-0.1408,0.765,2.7022
sP5M6,0,0.6439,5.6827,22.6249,10490,,sP5M6,0,0.8213,6.6931,16.026,14040,,0,-0.1774,-1.0104,6.5989
sP5M7,-0.4409,0.4543,15.3778,9.464,32130,,sP5M7,-0.039,0.4463,13.0585,9.5324,32130,,-0.4019,0.008,2.3193,-0.0684
sP5M8,0.1012,0.4914,35.5294,26.7253,32440,,sP5M8,0.4826,0.7781,26.9555,17.6544,32440,,-0.3814,-0.2867,8.5739,9.0709
sP6M1,0.1365,0,9.4995,10.4943,540,,sP6M1,-0.6624,0,13.1804,8.5787,460,,0.7989,0,-3.6809,1.9156
sP6M2,0.6373,0,22.0293,10.539,36630,,sP6M2,0.8323,0,14.9816,11.0734,36630,,-0.195,0,7.0477,-0.5344
sP6M3,0.5233,0,31.3768,12.9693,36250,,sP6M3,0.8304,0,18.7148,17.2997,36250,,-0.3071,0,12.662,-4.3304
sP6M4,-2.1051,0,21.2245,2.6377,NaN,,sP6M4,0.7972,0,5.4244,1.3975,4840,,-2.9023,0,15.8001,1.2402
sP6M6,0,0.7046,7.8176,21.6673,34140,,sP6M6,0,0.86,7.2003,14.9167,18300,,0,-0.1554,0.6173,6.7506
sP6M7,-0.111,0.7294,15.8554,7.8257,360,,sP6M7,0.324,0.7759,12.3677,7.1206,56140,,-0.435,-0.0465,3.4877,0.7051
