trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms
sP1M2,0.8454,0.0000,13.8373,11.5328,39700.00
sP1M3,0.8119,0.0000,20.3073,16.9373,31900.00
sP1M4,0.5707,0.0000,7.8829,1.8960,10280.00
sP1M6,0.0000,0.9419,6.1547,9.0914,10000.00
sP1M7,0.4782,0.5465,9.1598,8.5390,11960.00
sP1M8,0.7884,0.8971,17.3933,12.1298,16880.00
sP2M1,-5.8949,0.0000,20.3689,20.6295,28000.00
sP2M2,0.8135,0.0000,13.8002,18.2756,8460.00
sP2M3,0.7753,0.0000,19.5918,18.4366,1060.00
sP2M4,-0.2501,0.0000,12.1536,3.6016,1740.00
sP2M5,0.0000,0.7326,5.0602,9.1190,30900.00
sP2M6,0.0000,0.8310,22.9433,15.1344,15080.00
sP2M7,0.5687,0.6648,8.6906,7.6616,47440.00
sP2M8,0.7168,0.5814,18.9029,22.9826,32280.00
sP3M1,-3.3245,0.0000,17.6834,6.9838,30820.00
sP3M2,0.7736,0.0000,15.6894,17.9670,29760.00
sP3M3,0.7500,0.0000,21.6414,18.5275,37350.00
sP3M5,0.0000,0.7368,3.5099,9.5365,28700.00
sP3M8,0.6939,0.3929,19.9590,28.1088,30660.00
sP4M1,-4.7716,0.0000,19.6519,10.9579,32260.00
sP4M2,0.7438,0.0000,15.6246,16.1249,40740.00
sP4M3,0.7807,0.0000,19.6597,15.0725,40740.00
sP4M5,0.0000,0.4816,11.3541,8.6869,9480.00
sP4M7,-3.9585,-2.9512,15.0016,13.3914,49900.00
sP4M8,0.7310,0.1765,16.1298,28.2232,33060.00
sP5M2,0.8674,0.0000,12.0405,4.7937,9470.00
sP5M3,0.8551,0.0000,16.1021,7.1757,5240.00
sP5M4,0.3467,0.0000,9.6086,5.4086,8740.00
sP5M5,0.0000,0.8295,3.7092,7.6884,29340.00
sP5M6,0.0000,0.8213,6.6931,16.0260,14040.00
sP5M7,-0.0390,0.4463,13.0585,9.5324,32130.00
sP5M8,0.4826,0.7781,26.9555,17.6544,32440.00
sP6M1,-0.6624,0.0000,13.1804,8.5787,460.00
sP6M2,0.8323,0.0000,14.9816,11.0734,36630.00
sP6M3,0.8304,0.0000,18.7148,17.2997,36250.00
sP6M4,0.7972,0.0000,5.4244,1.3975,4840.00
sP6M6,0.0000,0.8600,7.2003,14.9167,18300.00
sP6M7,0.3240,0.7759,12.3677,7.1206,56140.00
sP6M8,0.8382,0.6230,15.8405,24.1779,7040.00
sP7M2,0.8408,0.0000,14.7060,11.2449,14290.00
sP7M3,0.7754,0.0000,21.9470,11.9600,5950.00
sP7M4,-3.1125,0.0000,13.9059,1.7332,49860.00
sP7M5,0.0000,0.7869,2.7104,7.3596,1400.00
sP8M1,0.6932,0.0000,8.1714,4.4403,35470.00
sP8M2,0.8703,0.0000,13.4089,11.4823,41220.00
sP8M3,0.8658,0.0000,17.3732,30.0979,11790.00
sP8M4,0.8283,0.0000,5.2064,1.8477,8490.00
sP8M5,0.0000,0.8140,3.6018,8.0694,15560.00
sP8M6,0.0000,0.8437,5.9871,15.5648,32110.00
sP8M7,0.8618,0.8520,6.7696,7.0059,32540.00
sP8M8,0.8185,0.8089,16.7792,17.2161,6490.00
