epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.823521,6.616498,195.889929,0.001,180.5783,True
2,8.15167,6.037476,180.951134,0.001,184.9956,True
3,7.694843,6.537289,210.805782,0.001,187.2734,False
4,7.349069,6.573034,201.558785,0.001,185.6297,False
5,7.085448,6.285302,200.71093,0.001,185.228,False
6,6.869055,5.978834,184.461539,0.001,186.5336,False
7,6.70358,6.238373,202.790814,0.001,186.6258,False
8,6.549776,5.998816,202.538099,0.001,185.5098,False
9,6.27755,5.861145,198.369371,0.0005,186.6741,False
10,6.208109,5.939042,206.720826,0.0005,185.316,False
11,6.123079,5.53698,179.648939,0.0005,183.946,True
12,6.072751,5.720256,196.062037,0.0005,185.7289,False
13,6.017438,5.617767,191.299947,0.0005,191.2956,False
14,5.968243,5.713823,194.592434,0.0005,185.8728,False
15,5.930884,5.472003,183.739679,0.0005,184.1405,False
16,5.882035,5.553448,193.324333,0.0005,186.126,False
17,5.843273,5.645086,196.894392,0.0005,184.2325,False
18,5.722312,5.538541,185.872822,0.00025,186.7704,False
19,5.692819,5.538864,190.784135,0.00025,187.2152,False
20,5.685494,5.752572,196.758862,0.00025,183.6411,False
21,5.655716,5.509042,183.576266,0.00025,185.3553,False
