epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,12.973701,9.811197,356.623515,0.001,27.9012,True
2,9.946896,6.38204,167.397276,0.001,26.0007,True
3,7.97321,5.613197,147.750314,0.001,27.5434,True
4,7.49273,6.235538,209.070117,0.001,27.8729,False
5,7.278356,5.908743,185.51766,0.001,26.9101,False
6,7.085095,5.248035,134.020534,0.001,35.9624,True
7,6.957,5.118995,134.753057,0.001,29.5977,False
8,6.827539,5.293855,136.925204,0.001,29.9519,False
9,6.706384,5.126966,143.944498,0.001,29.6035,False
10,6.633203,4.941767,127.629219,0.001,29.0036,True
11,6.495249,5.124375,153.562597,0.001,29.0543,False
12,6.437424,4.966394,137.838424,0.001,28.9188,False
13,6.306595,4.605036,113.587021,0.001,28.9043,True
14,6.165154,4.692537,133.043498,0.001,28.85,False
15,6.143063,5.363949,177.999794,0.001,29.0032,False
16,6.022324,4.796728,123.893926,0.001,33.2257,False
17,6.008133,5.425786,188.108241,0.001,29.1454,False
18,5.900376,4.821067,136.770998,0.001,29.1336,False
19,5.878102,4.72834,134.273533,0.001,28.7773,False
20,5.657158,4.750904,126.46165,0.0005,33.2855,False
21,5.62332,4.982333,148.637166,0.0005,29.4608,False
22,5.600742,5.146605,150.919083,0.0005,29.1045,False
23,5.569383,4.944196,149.604809,0.0005,37.8401,False
24,5.540455,4.95374,135.736964,0.0005,28.8572,False
25,5.51209,4.875287,135.777649,0.0005,29.611,False
26,5.399934,5.198187,160.527203,0.00025,29.6082,False
27,5.406825,4.779184,138.005692,0.00025,28.7915,False
28,5.372459,5.122448,149.032542,0.00025,43.2857,False
29,5.37998,4.892163,134.332163,0.00025,32.0206,False
30,5.372964,4.868317,135.430966,0.00025,29.051,False
31,5.344888,5.149266,161.514792,0.00025,29.4116,False
32,5.305661,5.032823,145.111013,0.000125,29.356,False
33,5.295672,4.922506,141.447636,0.000125,29.1023,False
