epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,14.477637,14.48758,608.666987,0.001,329.3583,True
2,14.860473,15.288022,620.385555,0.001,332.8454,False
3,15.085465,15.309186,622.095474,0.001,341.9533,False
4,15.089969,15.327498,622.971293,0.001,347.2478,False
5,15.087196,15.321486,623.566676,0.001,320.3921,False
6,15.105281,15.339787,623.138858,0.001,308.6825,False
7,15.111246,15.28183,620.840321,0.001,311.649,False
8,15.082352,15.284774,621.78377,0.0005,357.034,False
9,15.094269,15.309159,622.095474,0.0005,797.6356,False
10,15.084693,15.309251,622.095474,0.0005,1220.0559,False
11,15.111164,15.30916,622.095474,0.0005,1216.5338,False
12,15.08333,15.333603,622.438413,0.0005,1002.3602,False
13,15.091871,15.325946,622.012219,0.0005,371.2382,False
14,15.100811,15.324443,622.012219,0.00025,673.5491,False
15,15.097099,15.309157,622.095474,0.00025,951.1732,False
16,15.094103,15.32167,622.263038,0.00025,1193.218,False
17,15.083279,15.339711,623.138858,0.00025,377.2898,False
18,15.08455,15.339832,623.138858,0.00025,330.689,False
19,15.096863,15.339797,623.138858,0.00025,332.1379,False
20,15.094132,15.339704,623.138858,0.000125,331.5422,False
21,15.097354,15.339704,623.138858,0.000125,331.2415,False
