epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.247329,6.59828,189.077125,0.001,21.7475,True
2,7.530446,6.054352,146.53919,0.001,18.2732,True
3,7.123565,6.055999,145.144335,0.001,18.9753,True
4,6.913614,6.636757,182.871557,0.001,16.4567,False
5,6.756964,6.365357,163.51235,0.001,15.9566,False
6,6.562472,6.398404,168.762314,0.001,15.768,False
7,6.535476,6.128056,149.048376,0.001,17.1972,False
8,6.417213,6.420681,161.560388,0.001,14.5898,False
9,6.371447,6.08476,149.97185,0.001,16.7936,False
10,6.119057,5.964544,143.332439,0.0005,15.0953,True
11,6.078594,6.025209,144.981775,0.0005,16.7606,False
12,6.062446,6.128091,149.491611,0.0005,13.8259,False
13,6.037483,5.999795,145.468112,0.0005,13.6544,False
14,5.981402,6.23,154.232476,0.0005,13.1722,False
15,5.961016,5.868,141.67266,0.0005,12.4192,True
16,5.912778,6.265526,155.256134,0.0005,14.6226,False
17,5.931333,6.10626,148.281376,0.0005,12.9369,False
18,5.874393,6.311406,155.320748,0.0005,13.706,False
19,5.845663,6.360281,163.390093,0.0005,20.5424,False
20,5.820033,6.138351,150.84817,0.0005,26.5424,False
21,5.778397,6.242093,155.954684,0.0005,26.7361,False
22,5.698544,6.061353,146.801067,0.00025,24.5517,False
23,5.669977,6.188855,153.205461,0.00025,26.977,False
24,5.654694,6.074636,149.916486,0.00025,24.4453,False
25,5.65595,6.114543,151.642798,0.00025,26.0441,False
26,5.635512,6.066516,148.852033,0.00025,28.2249,False
27,5.626945,6.199398,157.755181,0.00025,29.4377,False
28,5.558219,6.121219,151.364268,0.000125,26.7361,False
29,5.561373,6.062803,146.850832,0.000125,26.078,False
30,5.549157,6.015733,146.551473,0.000125,25.2666,False
31,5.546407,6.069393,146.766163,0.000125,30.0689,False
32,5.539201,6.036507,146.094859,0.000125,29.8453,False
33,5.533429,6.053684,147.558313,0.000125,29.2719,False
34,5.514322,6.0452,146.911945,6.25e-05,28.9374,False
35,5.509145,6.043763,146.545659,6.25e-05,27.7477,False
