epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.03071,6.592348,168.526199,0.001,37.2544,True
2,7.394623,6.40643,170.759559,0.001,28.961,False
3,7.022319,6.358639,158.135142,0.001,31.5809,True
4,6.804712,6.511954,173.182498,0.001,32.4544,False
5,6.630562,6.392757,164.959248,0.001,33.1764,False
6,6.49748,6.549815,178.73066,0.001,31.985,False
7,6.374291,6.279561,162.549996,0.001,30.5291,False
8,6.348147,6.116155,151.237333,0.001,18.2317,True
9,6.297548,6.329847,157.240805,0.001,9.1505,False
10,6.155724,6.402759,163.998518,0.001,9.673,False
11,6.107753,6.356884,154.06951,0.001,9.4565,False
12,6.079528,6.223651,157.423146,0.001,11.4867,False
13,5.974569,6.211509,155.017763,0.001,14.6554,False
14,5.958268,6.153897,150.972762,0.001,15.2666,True
15,5.919325,6.220143,161.760508,0.001,14.6231,False
16,5.835117,6.275388,153.974193,0.001,13.1897,False
17,5.935029,6.263857,153.084441,0.001,10.3373,False
18,5.829862,5.814078,140.198786,0.001,9.9011,True
19,5.765652,6.075583,151.043003,0.001,9.3562,False
20,5.731572,6.361369,163.891672,0.001,9.7658,False
21,5.708252,6.118395,149.689374,0.001,14.0939,False
22,5.712515,6.187212,164.773868,0.001,28.406,False
23,5.686872,6.434643,171.695784,0.001,28.6533,False
24,5.715662,6.124763,153.842999,0.001,29.1714,False
25,5.454154,6.417041,162.674121,0.0005,30.6871,False
26,5.472057,6.387095,161.504503,0.0005,30.2119,False
27,5.466375,6.387407,159.518548,0.0005,28.5462,False
28,5.420519,6.182215,152.297499,0.0005,28.9468,False
29,5.44511,6.296872,157.045331,0.0005,26.071,False
30,5.412711,6.242985,157.629411,0.0005,34.5921,False
31,5.356484,6.2529,159.207379,0.00025,28.5689,False
32,5.331052,6.235112,157.446793,0.00025,27.8427,False
33,5.329894,6.25796,156.725027,0.00025,29.6563,False
34,5.324013,6.399563,160.626555,0.00025,29.2768,False
35,5.317896,6.306261,158.925681,0.00025,28.061,False
36,5.310108,6.332443,162.258153,0.00025,29.472,False
37,5.264781,6.323562,161.097724,0.000125,28.518,False
38,5.272129,6.365384,162.255433,0.000125,27.9217,False
