epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,12.927239,9.493511,328.867754,0.001,100.7193,True
2,9.445735,6.515739,201.733228,0.001,89.7648,True
3,7.614579,5.272032,126.846407,0.001,68.6882,True
4,7.070466,4.923004,112.970756,0.001,92.5262,True
5,6.814845,5.052651,122.590231,0.001,86.0106,False
6,6.621466,4.702495,110.085614,0.001,101.7062,True
7,6.484802,5.326588,141.757405,0.001,100.3568,False
8,6.319916,4.596866,108.873767,0.001,100.6088,True
9,6.270859,4.092396,96.27188,0.001,100.0998,True
10,6.099314,4.159391,99.258791,0.001,100.2025,False
11,5.99101,4.255567,106.534498,0.001,100.9317,False
12,5.887719,5.186846,159.297853,0.001,100.0633,False
13,5.877216,3.788473,85.66691,0.001,107.4406,True
14,5.674571,4.197136,98.997311,0.001,99.8297,False
15,5.615987,4.289585,115.014294,0.001,100.1491,False
16,5.502758,4.54717,123.00031,0.001,100.0689,False
17,5.429592,4.138517,107.646069,0.001,99.5664,False
18,5.367556,4.462705,130.911731,0.001,100.0344,False
19,5.293468,4.485256,132.2181,0.001,98.5044,False
20,5.093155,4.273122,113.34935,0.0005,99.8148,False
21,5.007907,4.460831,130.374672,0.0005,100.5086,False
22,4.997304,4.638369,154.304859,0.0005,98.6169,False
23,4.941048,4.79609,170.824218,0.0005,76.5004,False
24,4.865093,4.891325,168.549444,0.0005,73.0748,False
25,4.843026,4.728799,157.754134,0.0005,88.1277,False
26,4.731579,4.624044,153.9276,0.00025,85.2759,False
27,4.693919,4.66148,153.972204,0.00025,81.7678,False
28,4.673003,4.906724,172.663495,0.00025,83.9217,False
29,4.647164,5.202536,193.189054,0.00025,88.5298,False
30,4.628245,4.803398,170.477018,0.00025,87.5591,False
31,4.613257,4.780395,159.420638,0.00025,86.5055,False
32,4.562399,4.787892,164.03927,0.000125,64.5696,False
33,4.526607,4.766012,164.044193,0.000125,82.1487,False
