epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,14.496605,14.597307,608.579479,0.001,534.0322,True
2,14.992815,15.254857,619.655482,0.001,538.4083,False
3,15.101688,15.401576,623.614767,0.001,530.343,False
4,14.917693,14.238098,581.050154,0.001,526.9206,True
5,14.723793,12.742485,507.366523,0.001,530.7948,True
6,13.983956,12.258978,480.984296,0.001,247.0261,True
7,13.736845,12.191712,481.471889,0.001,197.2553,False
8,14.143832,12.6059,505.789079,0.001,207.5733,False
9,13.756032,11.358872,431.631982,0.001,201.6335,True
10,12.785966,11.404318,421.55787,0.001,200.0645,True
11,12.902292,10.305799,389.922859,0.001,207.6082,True
12,12.972093,11.205914,454.220505,0.001,208.9588,False
13,12.463674,10.30421,369.838112,0.001,206.2486,True
14,13.012613,10.999247,407.632912,0.001,207.7722,False
15,12.319544,10.492905,377.640873,0.001,210.0475,False
16,12.320345,10.462471,370.934927,0.001,351.2082,False
17,12.240403,10.424927,366.944643,0.001,317.4288,True
18,12.069582,10.400348,360.18866,0.001,195.003,True
19,11.914486,10.322267,358.482915,0.001,211.4899,True
20,11.826184,10.236708,362.525899,0.001,212.3156,False
21,12.164241,10.284379,401.998928,0.001,215.7632,False
22,12.57656,10.510484,399.81501,0.001,300.4868,False
23,12.494476,10.409413,378.372395,0.001,317.8153,False
24,12.603018,13.743255,528.021277,0.001,194.4488,False
25,13.863285,12.315116,625.91143,0.001,205.0011,False
26,13.825727,11.580182,523.756718,0.0005,209.2934,False
27,13.392473,11.836655,586.006798,0.0005,237.62,False
28,13.31167,11.308165,433.107096,0.0005,175.0817,False
29,13.021424,11.246392,434.653033,0.0005,161.9011,False
30,12.879405,12.009849,588.786825,0.0005,162.4914,False
31,13.526748,11.295189,532.155418,0.0005,163.784,False
32,13.018758,10.895459,452.821309,0.00025,163.9685,False
33,12.902949,10.687811,439.454045,0.00025,164.2323,False
34,12.769356,10.797569,440.251572,0.00025,164.3773,False
35,13.198188,12.562927,510.736488,0.00025,163.4642,False
36,13.326002,11.760972,487.672158,0.00025,174.2379,False
37,12.958551,11.614317,465.706432,0.00025,230.3137,False
38,12.881482,11.517833,443.618038,0.000125,414.4156,False
39,12.861449,10.819518,426.728437,0.000125,384.2036,False
