epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,11.585911,6.068124,161.513446,0.001,77.8536,True
2,7.968459,5.109263,122.665114,0.001,73.5224,True
3,7.184545,4.777572,108.213743,0.001,90.8096,True
4,6.711123,4.644378,116.394236,0.001,91.3429,False
5,6.294644,4.692838,119.497206,0.001,80.2772,False
6,5.975098,4.475048,113.586497,0.001,75.3889,False
7,5.703926,4.443227,117.505854,0.001,74.887,False
8,5.478308,4.746837,138.867335,0.001,75.7922,False
9,5.263372,5.104236,151.837436,0.001,73.6821,False
10,4.952619,4.789297,149.815618,0.0005,79.7693,False
11,4.871837,5.009357,171.543982,0.0005,134.571,False
12,4.759337,5.133232,185.898172,0.0005,425.2315,False
13,4.703231,5.035353,185.957335,0.0005,274.3583,False
