epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,10.30258,6.826826,223.069251,0.001,101.3523,True
2,8.091281,6.165832,177.92926,0.001,79.8367,True
3,7.62329,5.848618,180.748394,0.001,100.6176,False
4,7.319034,5.602901,149.76159,0.001,214.2404,True
5,7.112615,5.753502,168.651163,0.001,233.9241,False
6,7.016781,5.736848,173.447881,0.001,241.3048,False
7,6.814177,4.924277,145.569604,0.001,169.5112,True
8,6.70319,5.373085,165.907722,0.001,93.8953,False
9,6.540225,5.554806,170.741836,0.001,103.4414,False
10,6.419142,5.80375,210.465901,0.001,103.7967,False
11,6.308024,5.697854,203.884007,0.001,103.6866,False
12,6.199717,5.817563,197.719315,0.001,101.1259,False
13,6.108866,5.597995,198.847161,0.001,100.7253,False
14,5.865742,5.854989,211.224966,0.0005,101.641,False
15,5.809694,5.819466,216.841673,0.0005,100.6465,False
16,5.768314,5.425198,192.735025,0.0005,100.7147,False
17,5.73148,6.083743,239.163465,0.0005,117.7479,False
