epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,15.238651,10.452295,423.858254,0.001,12.1996,True
2,12.99112,9.805169,351.932378,0.001,11.2987,True
3,11.981184,8.603991,260.959771,0.001,11.561,True
4,10.037316,6.992266,195.729143,0.001,12.3484,True
5,8.734639,6.779654,207.025571,0.001,11.8069,False
6,8.169099,5.717527,147.306048,0.001,11.9973,True
7,7.696865,6.265131,177.972932,0.001,12.1245,False
8,7.330024,5.571976,158.066156,0.001,12.7401,False
9,7.101521,5.670077,140.578181,0.001,12.6867,True
10,6.797241,4.879336,126.439327,0.001,13.0099,True
11,6.600584,4.381137,107.594832,0.001,13.4684,True
12,6.643573,4.954742,119.564785,0.001,12.8756,False
13,6.448155,5.800672,158.86934,0.001,12.7717,False
14,6.351595,5.218733,132.463132,0.001,12.709,False
15,6.133827,5.646235,156.552437,0.001,12.5952,False
16,6.133398,4.917216,119.256001,0.001,12.9541,False
17,5.97728,5.118361,133.161972,0.001,12.7043,False
18,5.765817,4.501267,111.887167,0.0005,12.5352,False
19,5.69516,4.611292,110.717581,0.0005,12.3804,False
20,5.619268,4.584151,114.848916,0.0005,12.239,False
21,5.62726,4.549349,116.092246,0.0005,11.921,False
