epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,13.581959,10.045645,382.381786,0.001,12.1103,True
2,10.872052,9.629713,343.713983,0.001,10.8967,True
3,9.677611,8.442101,297.510621,0.001,10.523,True
4,8.274741,6.088203,174.463278,0.001,11.0127,True
5,6.951158,5.844676,191.80967,0.001,10.9205,False
6,6.396729,5.368413,167.106978,0.001,10.99,True
7,6.197257,5.44736,169.878102,0.001,11.4514,False
8,6.010072,5.349054,153.848713,0.001,11.2363,True
9,5.804731,5.417263,179.446178,0.001,10.8359,False
10,5.721127,5.260721,163.893986,0.001,11.0021,False
11,5.545643,4.624523,128.012754,0.001,11.03,True
12,5.599451,4.756535,133.043545,0.001,19.0773,False
13,5.437044,4.826633,139.40878,0.001,41.9903,False
14,5.400919,5.131772,166.683656,0.001,43.0679,False
15,5.282263,5.383879,180.986832,0.001,43.0102,False
16,5.212895,4.952491,158.015171,0.001,45.427,False
17,5.233146,4.261995,120.516971,0.001,44.9531,True
18,5.086953,4.297666,123.937609,0.001,44.4495,False
19,5.126089,4.309667,128.424345,0.001,44.0776,False
20,4.977154,4.002286,111.772698,0.001,43.2027,True
21,4.998579,4.398528,141.640104,0.001,43.6439,False
22,4.87986,4.202386,126.319816,0.001,43.5895,False
23,4.93344,4.401434,144.265768,0.001,42.6647,False
24,4.881272,4.514672,159.542572,0.001,43.2921,False
25,4.880055,4.715048,158.294119,0.001,43.2469,False
26,4.831107,4.165646,121.311117,0.001,43.3117,False
27,4.625969,4.070277,119.866431,0.0005,43.3097,False
28,4.573731,4.21084,136.062416,0.0005,42.9512,False
29,4.531688,3.729928,103.627425,0.0005,45.5528,True
30,4.539732,4.244497,142.324063,0.0005,43.3261,False
31,4.512591,3.802896,112.92231,0.0005,43.2825,False
32,4.52651,3.78994,111.035969,0.0005,42.9082,False
33,4.428321,4.335302,154.056577,0.0005,44.131,False
34,4.444025,3.968536,123.118637,0.0005,44.4531,False
35,4.397422,4.449112,155.733053,0.0005,48.0018,False
36,4.331053,3.980218,130.343194,0.00025,50.011,False
37,4.303015,4.450878,160.507537,0.00025,48.9006,False
38,4.300352,3.955721,128.153017,0.00025,51.2998,False
39,4.29933,3.959317,135.894144,0.00025,54.1637,False
