epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,13.038232,9.912842,365.257623,0.001,16.8795,True
2,9.864082,7.598311,247.392268,0.001,14.627,True
3,7.443198,6.223902,191.802935,0.001,17.576,True
4,6.464324,5.34772,164.946947,0.001,16.0576,True
5,6.107252,5.672428,190.067145,0.001,16.0604,False
6,5.872262,5.371565,173.465182,0.001,16.0041,False
7,5.730665,4.709602,126.9136,0.001,15.9192,True
8,5.58296,5.859399,204.632576,0.001,15.7081,False
9,5.514963,6.104892,237.035675,0.001,16.5203,False
10,5.474672,4.854889,145.345034,0.001,17.1778,False
11,5.369196,4.997534,150.678362,0.001,17.6163,False
12,5.314683,4.713481,140.530425,0.001,18.1874,False
13,5.263618,5.126678,183.256989,0.001,18.6518,False
14,5.102697,5.095912,168.521266,0.0005,18.953,False
15,5.040405,4.888782,158.522896,0.0005,19.2014,False
16,4.968234,4.652545,130.508237,0.0005,19.7358,False
17,4.969353,4.979333,156.738917,0.0005,21.2292,False
