epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,13.878713,13.262423,640.343829,0.001,7.1503,True
2,13.110523,10.132551,409.802441,0.001,6.0828,True
3,11.248518,9.821626,352.793843,0.001,5.6049,True
4,10.438335,8.7861,283.274017,0.001,5.445,True
5,9.401174,8.473041,276.084187,0.001,6.9917,True
6,8.551326,7.485957,235.354735,0.001,6.2402,True
7,7.615455,6.811928,222.325903,0.001,5.7153,True
8,6.996574,5.497536,152.271701,0.001,5.6572,True
9,6.641084,5.58209,153.460328,0.001,5.6484,False
10,6.789025,4.951189,126.16666,0.001,5.5988,True
11,6.19276,4.973527,132.801159,0.001,5.6611,False
12,5.972215,4.884215,138.485638,0.001,6.0216,False
13,5.937593,5.701411,189.539561,0.001,5.5383,False
14,5.833764,5.06383,135.330401,0.001,5.5736,False
15,5.7245,5.383661,167.563374,0.001,5.5618,False
16,5.681269,5.23039,172.128491,0.001,5.4882,False
17,5.540901,5.385062,172.64157,0.0005,5.655,False
18,5.4432,4.76846,133.650631,0.0005,5.6075,False
19,5.46626,4.98505,140.705277,0.0005,5.4839,False
20,5.455435,5.06129,159.595949,0.0005,5.5526,False
