epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,12.364326,6.66279,192.373228,0.001,62.5946,True
2,8.460858,5.363449,131.005914,0.001,63.18,True
3,7.524134,5.047465,121.776592,0.001,205.4261,True
4,6.95419,4.399613,99.296912,0.001,266.6409,True
5,6.494779,4.486731,108.864452,0.001,301.4728,False
6,6.213328,4.742805,130.169126,0.001,271.1874,False
7,5.928245,4.436615,120.325165,0.001,256.616,False
8,5.727879,5.097028,163.366753,0.001,241.0164,False
9,5.512212,4.596605,132.968764,0.001,263.7263,False
10,5.371975,4.764707,157.008525,0.001,229.183,False
11,5.079029,5.12933,189.240377,0.0005,194.8476,False
12,4.972512,5.139492,182.34247,0.0005,220.9469,False
13,4.901489,5.52367,205.773841,0.0005,236.4357,False
14,4.843626,5.031577,190.568975,0.0005,216.5236,False
