epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,11.661132,5.862751,151.716741,0.001,262.4536,True
2,7.845708,4.844704,124.982583,0.001,237.2672,True
3,7.061023,5.337408,132.907378,0.001,234.9996,False
4,6.512038,5.207564,153.610161,0.001,232.5529,False
5,6.089367,4.663423,118.606368,0.001,235.6768,True
6,5.82636,4.186443,106.317892,0.001,233.4714,True
7,5.601725,4.568959,113.0165,0.001,233.1495,False
8,5.417079,5.023554,151.125071,0.001,234.46,False
9,5.245983,4.515134,123.799672,0.001,232.3343,False
10,5.106548,4.541956,119.596205,0.001,254.6589,False
11,4.953611,4.777166,150.643776,0.001,252.953,False
12,4.828638,5.621484,210.11281,0.001,231.5912,False
13,4.573725,4.802411,158.909018,0.0005,240.0828,False
14,4.485969,4.855177,155.194577,0.0005,236.2895,False
15,4.446337,5.152861,183.095724,0.0005,223.5696,False
16,4.404147,5.114326,189.229478,0.0005,248.9962,False
