epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,15.816532,15.413202,624.30754,0.001,65.835,True
2,14.960387,16.192458,721.988266,0.001,60.3425,False
3,13.848713,15.381442,666.755163,0.001,65.6552,False
4,13.100093,11.792037,471.963627,0.001,73.84,True
5,11.836446,11.325927,471.762363,0.001,78.7407,True
6,11.197962,10.966379,456.035568,0.001,73.1516,True
7,10.962791,11.181943,485.060681,0.001,72.4583,False
8,10.708899,11.007646,447.2605,0.001,72.9627,True
9,10.469054,10.737075,436.875437,0.001,71.4684,True
10,10.286156,10.498884,428.802743,0.001,71.7534,True
11,10.050741,10.320624,429.456913,0.001,76.896,False
12,9.840141,11.292469,481.834671,0.001,73.2842,False
13,9.6456,10.108583,416.660043,0.001,72.7028,True
14,9.417068,10.189432,430.302394,0.001,71.3318,False
15,9.296016,10.670322,453.063196,0.001,70.8222,False
16,9.025184,9.591717,383.100011,0.001,72.2485,True
17,8.755429,10.226086,398.838423,0.001,72.1924,False
18,8.638865,10.447535,474.695329,0.001,72.6405,False
19,8.512665,9.98933,412.841629,0.001,71.6167,False
20,8.240372,9.33016,367.632313,0.001,71.2855,True
21,8.12731,9.068167,343.076364,0.001,72.1322,True
22,7.954512,8.755031,327.257914,0.001,71.4069,True
23,7.874162,9.673676,399.29016,0.001,71.4021,False
24,7.709167,9.351876,389.568524,0.001,72.0621,False
25,7.56678,9.03262,367.864656,0.001,71.5728,False
26,7.391725,9.351016,389.962775,0.001,71.6635,False
27,7.314009,8.826243,345.620373,0.001,71.7041,False
28,7.187549,8.602142,359.927347,0.001,70.5781,False
29,6.83827,8.669157,342.30835,0.0005,67.7455,False
30,6.747532,8.418196,339.9459,0.0005,67.4448,False
31,6.675933,8.766428,360.16226,0.0005,67.4733,False
32,6.623941,8.198149,319.921501,0.0005,67.2721,True
33,6.546837,8.304551,328.256523,0.0005,68.2305,False
34,6.486864,8.622611,363.624685,0.0005,68.4635,False
35,6.439634,7.96941,298.390625,0.0005,67.5441,True
36,6.3933,8.611954,367.04115,0.0005,65.9558,False
37,6.305947,8.526407,336.607002,0.0005,67.5595,False
38,6.253943,8.349323,346.094735,0.0005,67.3301,False
39,6.22339,8.172844,340.708124,0.0005,67.3847,False
40,6.208169,8.080441,317.712127,0.0005,66.8056,False
41,6.115331,7.9726,319.076867,0.0005,67.1573,False
42,5.958488,8.274476,340.370571,0.00025,68.7299,False
43,5.92222,8.085446,327.944851,0.00025,66.9991,False
44,5.90787,8.138376,324.552026,0.00025,73.8361,False
45,5.862468,7.870837,302.610731,0.00025,67.8314,False
