epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,15.08725,10.58341,419.003957,0.001,66.8724,True
2,10.212644,6.605632,179.282541,0.001,64.4028,True
3,7.750353,5.666078,155.861392,0.001,70.2931,True
4,6.772348,6.091576,178.405448,0.001,67.5409,False
5,6.19026,5.842444,180.269324,0.001,67.161,False
6,5.86679,5.653217,164.174027,0.001,65.8119,False
7,5.55334,5.756149,176.923591,0.001,65.788,False
8,5.26121,5.768297,174.599128,0.001,66.1668,False
9,5.15706,4.483826,115.257825,0.001,66.7507,True
10,4.899371,5.443712,164.208116,0.001,66.0223,False
11,4.720463,4.814446,116.642269,0.001,65.9305,False
12,4.591382,5.07175,155.227146,0.001,67.0303,False
13,4.443741,5.045387,143.976427,0.001,66.5234,False
14,4.312499,4.658777,125.570721,0.001,66.9781,False
15,4.227764,4.578102,135.173956,0.001,71.9718,False
16,4.018642,4.85596,143.289514,0.0005,66.666,False
17,3.96701,4.698294,128.930796,0.0005,66.7106,False
18,3.926995,4.899362,146.803078,0.0005,67.4208,False
19,3.892257,5.217301,174.655198,0.0005,66.7455,False
