epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,12.369645,6.618098,183.57614,0.001,65.9405,True
2,8.148594,5.171281,141.363212,0.001,65.3643,True
3,7.0942,4.830627,137.667969,0.001,71.9522,True
4,6.537753,4.496711,128.04899,0.001,67.2298,True
5,6.100095,4.968753,144.636545,0.001,67.7837,False
6,5.709361,3.936086,102.396776,0.001,66.4192,True
7,5.388976,4.174411,103.513484,0.001,71.5622,False
8,5.136316,4.304432,111.562388,0.001,71.4184,False
9,4.932662,4.098216,107.829578,0.001,70.6932,False
10,4.758912,4.768475,124.990396,0.001,67.1659,False
11,4.61219,4.239879,106.621034,0.001,66.7883,False
12,4.455587,4.629654,132.493907,0.001,66.9004,False
13,4.23855,4.19256,113.056757,0.0005,67.0805,False
14,4.182766,4.044215,102.750699,0.0005,67.0517,False
15,4.118306,4.197233,111.1182,0.0005,66.7273,False
16,4.0761,4.230026,122.922669,0.0005,66.9974,False
