epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,14.02999,10.658083,437.309727,0.001,249.9219,True
2,9.909738,7.890722,284.625583,0.001,244.0726,True
3,8.501248,6.90285,189.406111,0.001,240.8225,True
4,7.744944,6.651024,216.732255,0.001,133.6173,False
5,7.081852,7.214173,263.933092,0.001,101.6363,False
6,6.566609,5.543158,139.113505,0.001,223.2322,True
7,6.246789,5.274137,138.249417,0.001,215.5193,True
8,5.928202,5.055488,131.750097,0.001,205.4952,True
9,5.695171,4.684515,106.761471,0.001,203.7956,True
10,5.48416,4.579492,120.687708,0.001,206.879,False
11,5.378418,4.206178,94.495086,0.001,214.0178,True
12,5.148864,4.489477,123.021994,0.001,210.1689,False
13,5.064222,5.352664,163.657442,0.001,205.4995,False
14,4.914279,4.976558,141.053436,0.001,209.9408,False
15,4.815084,4.085333,99.003038,0.001,208.5221,False
16,4.717388,4.316756,107.353831,0.001,216.5727,False
17,4.623182,4.666892,126.638577,0.001,208.4914,False
18,4.329813,4.567471,128.9153,0.0005,220.0161,False
19,4.290924,3.885395,87.064994,0.0005,234.9496,True
20,4.259764,4.593341,126.975225,0.0005,227.5429,False
21,4.211184,3.938506,106.421848,0.0005,216.803,False
22,4.168794,4.185048,104.572822,0.0005,214.4069,False
23,4.142454,3.957037,92.013985,0.0005,221.6076,False
24,4.097645,5.210902,171.976448,0.0005,225.3682,False
25,4.087765,4.599594,129.337956,0.0005,224.8474,False
26,3.961437,4.272373,122.981214,0.00025,215.4051,False
27,3.941201,4.499427,137.858148,0.00025,213.8539,False
28,3.934237,4.018909,104.811781,0.00025,210.7016,False
29,3.91168,4.700638,153.584142,0.00025,209.3356,False
