epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,11.505601,6.542334,179.641482,0.001,267.3706,True
2,7.980858,5.921371,214.467573,0.001,274.9976,False
3,7.136311,5.335304,147.750333,0.001,260.41,True
4,6.60173,5.328244,163.232183,0.001,68.8819,False
5,6.100848,5.279297,156.327674,0.001,71.8425,False
6,5.795657,5.313211,175.152159,0.001,71.2818,False
7,5.497634,5.123428,166.535548,0.001,73.016,False
8,5.272036,4.90611,157.72539,0.001,71.354,False
9,5.082003,4.810225,149.743943,0.001,70.5449,False
10,4.804267,5.045277,168.133161,0.0005,71.4442,False
11,4.73267,4.974997,159.553592,0.0005,71.9487,False
12,4.671708,5.297984,182.970746,0.0005,71.4452,False
13,4.606658,4.922214,158.078888,0.0005,72.5521,False
