epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,11.325307,9.697884,447.927521,0.001,436.6482,True
2,9.325181,8.359876,353.931612,0.001,489.9371,True
3,8.716803,7.676973,305.973107,0.001,459.8423,True
4,8.34834,7.479795,300.448695,0.001,416.852,True
5,8.077011,6.967048,271.031922,0.001,427.1347,True
6,7.894574,7.001144,290.521544,0.001,396.1335,False
7,7.728262,6.705099,260.136706,0.001,387.0338,True
8,7.575865,6.689972,261.868809,0.001,380.9138,False
9,7.45051,6.839947,272.731933,0.001,386.3556,False
10,7.338746,7.174805,288.834359,0.001,371.1975,False
11,7.278867,7.204713,274.872603,0.001,383.3204,False
12,7.194892,6.718743,256.157089,0.001,392.7499,True
13,7.126718,7.298162,294.194607,0.001,374.5147,False
14,7.066397,7.205482,286.555699,0.001,417.3375,False
15,7.009039,7.169209,286.830941,0.001,453.6198,False
16,6.965079,6.87795,267.625597,0.001,522.0249,False
17,6.907654,7.409076,299.197672,0.001,556.789,False
18,6.87609,6.887943,267.528106,0.001,317.1828,False
19,6.679539,7.21775,287.585272,0.0005,293.7091,False
20,6.648827,7.107068,282.877968,0.0005,299.3133,False
21,6.625369,7.336403,288.863762,0.0005,291.8319,False
22,6.59939,7.01028,293.337779,0.0005,291.3185,False
23,6.571779,6.973943,282.737695,0.0005,290.3923,False
24,6.561806,6.808481,267.306149,0.0005,298.3112,False
25,6.471106,6.830155,273.269521,0.00025,296.854,False
26,6.447097,6.87695,283.841328,0.00025,290.6083,False
27,6.44201,7.219005,298.163572,0.00025,291.9651,False
28,6.42592,7.116351,294.005384,0.00025,433.3589,False
29,6.420829,6.830476,276.636068,0.00025,1519.7649,False
30,6.401816,7.108489,293.908513,0.00025,1046.7788,False
31,6.360946,7.054561,296.049465,0.000125,921.8678,False
32,6.352241,6.781978,276.028001,0.000125,869.0973,False
