epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,11.1847,8.868095,363.660464,0.001,672.8033,True
2,8.710049,8.478043,372.903185,0.001,517.7275,False
3,8.109302,7.646178,314.554113,0.001,266.6847,True
4,7.639775,7.47949,310.334647,0.001,198.8824,True
5,7.295183,7.921811,340.75619,0.001,201.9918,False
6,7.059724,8.002586,331.516312,0.001,202.7006,False
7,6.868207,7.545165,307.905915,0.001,198.6337,True
8,6.687098,8.055367,342.152958,0.001,203.052,False
9,6.548514,7.61635,325.32298,0.001,198.3945,False
10,6.45685,7.860125,335.970796,0.001,196.1832,False
11,6.16909,7.721642,318.494693,0.0005,198.1393,False
12,6.080191,7.606344,316.843473,0.0005,198.7033,False
