epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.851001,5.494565,146.943356,0.001,296.0175,True
2,6.994224,4.749128,123.465,0.001,288.6379,True
3,6.317558,4.984176,146.395345,0.001,286.7047,False
4,5.906566,4.512335,129.671034,0.001,288.9954,False
5,5.582085,4.913341,154.664948,0.001,290.0069,False
6,5.325479,4.874009,148.280005,0.001,287.2972,False
7,5.133946,4.704786,143.659155,0.001,300.0409,False
8,4.95997,5.148699,174.154545,0.001,294.2546,False
9,4.613334,5.277573,190.995491,0.0005,290.3154,False
10,4.511281,4.914719,172.934034,0.0005,293.9469,False
11,4.438675,4.637513,152.076712,0.0005,289.3958,False
12,4.359256,5.204383,199.357034,0.0005,289.5549,False
