test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
arch_1dcnn,1,-1.8503,0.0000,32.8068,20.6382,986.83,-0.9251,26.7225,0.7985,0.0000,7.5381,36.5367,255.7500,0.3992,17.5221,-1.5546,0.0000,13.4898,10.4664,155.00,-0.7773,11.9781,2.1140,0.0000,2.2383,4.2128,NaN,1.0570,3.4567,-4.6243,0.0000,47.1668,17.3237,1054.00,-2.3122,32.2452,3.6484,0.0000,16.1332,17.2219,NaN,1.8242,16.6776,0.6584,0.0000,8.6284,4.0394,155.00,0.3292,6.3339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7159,0.0000,24.0263,16.0146,778.88,-0.8579,20.0205,1.7760,0.0000,14.0821,25.5298,530.8750,0.8880,13.3496
arch_1dcnn,2,-0.7762,0.0000,55.4408,15.1061,1485.70,-0.3881,35.2734,0.7191,0.0000,11.1662,25.6003,332.3900,0.3596,16.3364,0.5303,0.0000,23.2791,12.2916,368.90,0.2652,17.7853,0.1092,0.0000,2.4713,10.4236,107.7250,0.0546,4.6366,-1.1405,0.0000,60.2708,14.0774,1587.89,-0.5703,37.1741,1.3083,0.0000,16.2713,16.3904,175.6700,0.6541,19.5282,0.6699,0.0000,21.4014,7.3615,232.50,0.3350,14.3814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0794,0.0000,38.2879,13.6050,927.30,-0.0397,25.9464,0.9093,0.0000,28.2979,16.3379,1299.5900,0.4547,9.6471
arch_1dcnn,3,-0.1691,0.0000,54.3686,18.0108,1188.63,-0.0846,36.1897,0.6886,0.0000,15.0906,33.4676,570.4000,0.3443,21.9830,0.5026,0.0000,31.1183,14.1412,349.39,0.2513,22.6298,0.1010,0.0000,1.4790,5.9468,290.8100,0.0505,3.4430,-0.2243,0.0000,55.1093,19.0402,1322.15,-0.1121,37.0747,0.3514,0.0000,9.3849,28.2720,494.4500,0.1757,22.7793,0.6256,0.0000,29.0233,12.3817,155.00,0.3128,20.7025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1891,0.0000,41.9685,15.9470,769.01,0.0946,28.9577,0.4662,0.0000,17.1659,19.5739,778.1000,0.2331,11.7539
arch_1dcnn,4,-14.2046,0.0000,39.1512,14.7565,1187.92,-7.1023,26.9538,17.8075,0.0000,35.3064,20.9626,204.6000,8.9038,25.8184,-0.4255,0.0000,10.6581,2.0641,745.22,-0.2128,6.3611,0.8361,0.0000,4.0859,0.9888,245.4525,0.4181,2.6267,-24.5864,0.0000,56.2556,14.7427,1260.15,-12.2932,35.4992,38.6751,0.0000,62.9245,14.5385,370.4500,19.3376,38.7315,0.5924,0.0000,8.0245,1.8617,613.80,0.2962,4.9431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8450,0.0000,26.0005,8.8984,991.16,-3.9225,17.4495,2.8505,0.0000,8.0043,1.6859,426.0300,1.4253,5.7977
arch_1dcnn,5,0.0000,-3.7156,34.6870,40.2832,1240.49,-1.8578,37.4851,0.0000,4.4909,56.1094,21.1680,681.2600,2.2454,39.1822,0.0000,0.5845,5.4533,10.7025,625.17,0.2922,8.0779,0.0000,0.2205,2.9576,2.5420,178.2500,0.1103,1.3755,0.0000,-5.9396,56.2011,49.0799,1203.83,-2.9698,52.6405,0.0000,9.6315,48.0425,43.0502,873.1675,4.8157,26.3559,0.0000,0.7256,7.9881,9.8004,418.50,0.3628,8.8942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-1.7310,21.1945,26.6306,1035.38,-0.8655,23.9125,0.0000,1.3898,5.0662,17.9664,785.3300,0.6949,10.8072
arch_1dcnn,6,0.0000,-0.8911,37.2004,56.3201,1338.65,-0.4456,46.7602,0.0000,1.1487,45.1290,19.5744,312.7600,0.5744,31.9181,0.0000,0.5990,8.4447,23.8276,414.16,0.2995,16.1362,0.0000,0.0603,6.9665,2.3542,136.4000,0.0301,2.4245,0.0000,-1.2259,54.0065,59.8637,1334.15,-0.6129,56.9351,0.0000,1.8458,26.2179,27.1320,558.0000,0.9229,10.9609,0.0000,0.7425,18.4461,19.9821,223.20,0.3713,19.2141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.2034,23.9285,41.3236,876.40,-0.1017,32.6261,0.0000,1.1505,17.1709,29.0392,813.0575,0.5753,24.5411
arch_1dcnn,7,-3.7178,-3.9192,38.7771,40.1730,1128.40,-3.8185,39.4751,2.8387,1.6740,15.7358,8.5638,381.3000,6.1059,23.7097,-0.0055,0.2365,11.4457,9.6620,441.75,0.1155,10.5539,0.3897,0.1744,2.6151,1.2823,23.2500,0.1958,1.6608,-6.2437,-6.2754,48.9942,48.5581,1317.50,-6.2595,48.7762,5.3636,6.5146,20.3939,27.2765,294.5000,6.8601,17.6205,0.6825,0.7382,10.2633,9.3187,NaN,0.7104,9.7910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7379,-1.7028,24.2004,23.9004,956.74,-1.7204,24.0504,1.8806,1.6549,16.1894,19.8470,975.7250,1.9091,17.5512
arch_1dcnn,8,-0.7418,-0.9300,53.9857,56.7519,1153.03,-0.8359,55.3688,1.1487,0.4227,18.5303,11.6475,403.0000,0.7610,10.6315,0.3818,0.4472,28.6144,26.7847,290.81,0.4145,27.6995,0.2221,0.1931,3.8412,3.3641,95.9600,0.1648,2.0640,-0.9036,-1.2302,54.9292,59.2135,948.08,-1.0669,57.0714,1.3149,1.0267,18.4253,16.8574,631.6250,0.7111,9.8570,0.6956,0.5305,21.7321,26.9903,82.67,0.6130,24.3612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1425,-0.1955,40.4543,40.7694,721.92,-0.1690,40.6118,0.7954,1.0649,21.1432,25.7920,1069.1350,1.0223,23.6512
arch_1dcnn,9,0.0000,0.0000,23.1851,27.1181,NaN,0.0000,25.1516,0.0000,0.0000,32.0301,45.7548,NaN,0.0000,30.2301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,31.7572,36.9164,NaN,0.0000,34.3368,0.0000,0.0000,37.2121,59.4038,NaN,0.0000,33.9793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,23.1851,27.1181,NaN,0.0000,25.1516,0.0000,0.0000,32.0301,45.7548,NaN,0.0000,30.2301
arch_lstm,1,-0.0595,0.0000,22.0591,19.1413,384.40,-0.0297,20.6002,0.0728,0.0000,0.4326,0.0000,248.0000,0.0364,0.2163,-0.2205,0.0000,10.7420,19.1412,285.20,-0.1103,14.9416,0.2031,0.0000,0.9681,0.0001,NaN,0.1016,0.4840,-0.0454,0.0000,21.8952,19.1413,186.00,-0.0227,20.5183,0.0440,0.0000,0.1981,0.0000,NaN,0.0220,0.0991,-0.0146,0.0000,14.8695,19.1412,285.20,-0.0073,17.0053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1327,0.0000,16.9150,19.1413,367.87,-0.0663,18.0281,0.0645,0.0000,11.4932,0.0001,207.7000,0.0323,5.7467
arch_lstm,2,-0.1052,0.0000,44.9418,19.1413,1117.33,-0.0526,32.0416,0.0604,0.0000,2.5236,0.0000,917.6000,0.0302,1.2618,-0.4502,0.0000,41.1707,19.1413,278.88,-0.2251,30.1560,0.1788,0.0000,3.1336,0.0000,164.4725,0.0894,1.5668,-0.1094,0.0000,44.4629,19.1413,848.62,-0.0547,31.8021,0.0728,0.0000,2.8235,0.0000,592.8750,0.0364,1.4118,-0.1743,0.0000,40.3656,19.1412,241.11,-0.0872,29.7534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2892,0.0000,42.9306,19.1413,730.35,-0.1446,31.0359,0.3274,0.0000,4.3630,0.0000,759.5000,0.1637,2.1816
arch_lstm,3,-0.1253,0.0000,54.4599,19.1413,578.67,-0.0627,36.8006,0.0433,0.0000,1.5675,0.0000,480.5000,0.0217,0.7837,-0.5341,0.0000,54.7773,19.1413,244.55,-0.2670,36.9593,0.1844,0.0000,2.1027,0.0000,294.5025,0.0922,1.0513,-0.1330,0.0000,53.9273,19.1413,599.33,-0.0665,36.5343,0.0458,0.0000,2.7995,0.0000,496.0000,0.0229,1.3998,-0.3434,0.0000,54.9781,19.1413,372.00,-0.1717,37.0597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3433,0.0000,54.6292,19.1413,411.61,-0.1717,36.8852,0.3211,0.0000,2.1654,0.0000,232.5000,0.1606,1.0827
arch_lstm,4,-6.5998,0.0000,38.0446,19.1413,569.81,-3.2999,28.5930,0.5085,0.0000,1.8095,0.0000,454.6650,0.2543,0.9047,-13.9005,0.0000,40.4751,19.1412,217.00,-6.9502,29.8082,2.3678,0.0000,1.1499,0.0001,93.0000,1.1839,0.5750,-6.7603,0.0000,37.7473,19.1413,692.33,-3.3801,28.4443,0.1719,0.0000,2.0163,0.0000,661.3325,0.0859,1.0081,-9.2389,0.0000,40.2169,19.1412,NaN,-4.6194,29.6791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.9694,0.0000,39.1664,19.1413,463.97,-4.9847,29.1538,4.4327,0.0000,3.6714,0.0001,364.2475,2.2163,1.8357
arch_lstm,5,0.0000,-0.0234,24.5851,21.1845,853.24,-0.0117,22.8848,0.0000,0.0060,0.0001,0.8059,1219.3350,0.0030,0.4029,0.0000,-0.0845,24.5851,17.4816,262.47,-0.0423,21.0334,0.0000,0.0615,0.0000,2.2620,103.3300,0.0307,1.1310,0.0000,-0.0393,24.5852,20.8471,1147.00,-0.0197,22.7161,0.0000,0.0387,0.0000,0.8988,1550.0000,0.0194,0.4494,0.0000,-0.0108,24.5851,18.8086,289.33,-0.0054,21.6968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.0516,24.5851,19.4755,607.08,-0.0258,22.0303,0.0000,0.0279,0.0000,2.7787,353.9175,0.0139,1.3894
arch_lstm,6,0.0000,-0.1558,24.5852,45.1374,584.57,-0.0779,34.8613,0.0000,0.0581,0.0001,1.9567,434.0000,0.0290,0.9783,0.0000,-0.4348,24.5851,45.3406,150.28,-0.2174,34.9629,0.0000,0.0920,0.0000,1.1558,79.7100,0.0460,0.5779,0.0000,-0.1543,24.5852,44.2144,387.50,-0.0771,34.3998,0.0000,0.0684,0.0000,3.2796,263.5000,0.0342,1.6398,0.0000,-0.3130,24.5851,45.1256,124.00,-0.1565,34.8554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.2845,24.5851,45.2312,403.62,-0.1423,34.9082,0.0000,0.2330,0.0001,1.3269,139.5000,0.1165,0.6634
arch_lstm,7,-0.1144,-0.0142,22.2063,21.2208,284.17,-0.0643,21.7135,0.0811,0.0146,0.5175,1.2354,248.0000,0.0474,0.9763,-0.0492,-0.3156,13.8064,14.8294,158.10,-0.1824,14.3179,0.0344,0.2264,2.2265,2.5739,114.7000,0.0950,2.1241,-0.1559,-0.0233,22.0594,20.7920,232.50,-0.0896,21.4257,0.1196,0.0326,0.3185,0.7032,232.5000,0.0761,0.3292,-0.0391,-0.0102,18.5663,18.3063,136.40,-0.0247,18.4363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0796,-0.1749,17.7264,17.8120,233.74,-0.1273,17.7692,0.0606,0.1331,8.0449,6.4203,182.9000,0.0852,7.1229
arch_lstm,8,-0.0749,-0.1583,43.7011,45.3695,533.89,-0.1166,44.5353,0.0578,0.0808,4.2877,4.7577,459.8350,0.0693,4.5227,-0.3279,-0.5190,42.4939,45.4064,160.17,-0.4234,43.9502,0.1438,0.1983,1.7739,1.7866,93.0000,0.1726,1.7860,-0.0562,-0.1316,42.2992,43.7882,408.17,-0.0939,43.0437,0.0579,0.0880,3.2682,3.8834,294.5025,0.0729,3.5758,-0.1951,-0.3363,43.0617,45.5345,248.00,-0.2657,44.2981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2098,-0.3507,43.0573,45.3892,347.03,-0.2803,44.2232,0.1882,0.2655,2.1598,2.5282,403.0025,0.2268,2.2130
arch_lstm,9,0.0000,0.0000,24.5852,19.1413,NaN,0.0000,21.8632,0.0000,0.0000,0.0001,0.0000,NaN,0.0000,0.0001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,24.5852,19.1413,NaN,0.0000,21.8632,0.0000,0.0000,0.0000,0.0000,NaN,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,24.5852,19.1413,NaN,0.0000,21.8632,0.0000,0.0000,0.0001,0.0000,NaN,0.0000,0.0001
arch_naive_ann,1,-0.9025,0.0000,28.4914,11.0148,1069.50,-0.4512,19.7531,1.2917,0.0000,10.3714,6.2700,77.5000,0.6459,5.4110,-1.9729,0.0000,15.1978,5.1036,198.40,-0.9865,10.1507,2.7915,0.0000,4.8864,2.5400,NaN,1.3958,1.9452,-0.3367,0.0000,24.2800,10.9824,1054.00,-0.1683,17.6312,0.4538,0.0000,3.5358,3.8636,62.0000,0.2269,3.6997,0.1185,0.0000,13.8597,2.7046,198.40,0.0592,8.2821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3890,0.0000,22.4488,8.3279,895.28,-0.6945,15.3884,1.8830,0.0000,11.5225,5.4438,124.0000,0.9415,9.3684
arch_naive_ann,2,-0.6402,0.0000,53.7346,13.6177,1286.50,-0.3201,33.6762,0.5528,0.0000,10.4193,6.0804,899.0000,0.2764,7.4212,0.5196,0.0000,23.5978,6.5016,276.47,0.2598,15.0497,0.0941,0.0000,1.0900,4.8140,146.3900,0.0470,2.0473,-0.7386,0.0000,54.3167,16.6657,1147.00,-0.3693,35.4912,0.6267,0.0000,8.3242,14.7927,496.0000,0.3134,11.5585,0.5901,0.0000,23.8485,4.9953,220.44,0.2950,14.4219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0216,0.0000,37.6617,9.8225,680.48,-0.0108,23.7421,1.0282,0.0000,27.1190,4.5938,601.9200,0.5141,15.8849
arch_naive_ann,3,-0.3824,0.0000,59.0571,11.5764,1165.94,-0.1912,35.3168,0.8865,0.0000,22.0956,4.1006,282.8750,0.4433,12.3279,0.5486,0.0000,29.7038,9.3155,297.94,0.2743,19.5097,0.0487,0.0000,1.4119,1.2951,263.5000,0.0244,1.1908,-0.4385,0.0000,59.2363,12.6334,1099.21,-0.2193,35.9349,0.8503,0.0000,19.7506,4.8797,215.7075,0.4251,12.4188,0.6538,0.0000,27.9087,14.2680,93.00,0.3269,21.0883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1141,0.0000,43.4020,10.3706,731.94,0.0571,26.8863,0.7498,0.0000,25.2489,2.8285,802.1250,0.3749,12.3065
arch_naive_ann,4,-2.2058,0.0000,23.1075,12.0432,1250.34,-1.1029,17.5754,1.5502,0.0000,7.5308,1.2402,547.6650,0.7751,4.4334,-0.1157,0.0000,9.6733,3.4128,737.27,-0.0578,6.5431,0.5751,0.0000,2.8492,3.1977,194.8600,0.2876,2.2821,-2.9817,0.0000,25.4171,15.7622,1250.34,-1.4909,20.5897,2.2596,0.0000,8.0651,8.9272,547.6650,1.1298,7.9380,0.5238,0.0000,8.6734,5.8472,1023.00,0.2619,7.2603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2412,0.0000,16.9071,8.0599,883.86,-0.6206,12.4835,2.0984,0.0000,10.1394,5.3241,257.5950,1.0492,6.8775
arch_naive_ann,5,0.0000,-0.5604,12.3724,26.0463,844.75,-0.2802,19.2094,0.0000,0.6141,10.3559,5.9971,255.7500,0.3070,8.2506,0.0000,0.5488,4.4941,11.3468,696.47,0.2744,7.9205,0.0000,0.0291,2.4205,2.7397,671.6700,0.0145,0.6924,0.0000,-0.4565,10.6463,24.6301,868.00,-0.2283,17.6382,0.0000,0.4881,4.4315,5.6749,186.0000,0.2440,4.1634,0.0000,0.3802,7.3999,14.7285,1240.00,0.1901,11.0642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.0485,8.7363,19.2619,762.37,-0.0242,13.9991,0.0000,0.9510,8.9267,12.6809,372.0000,0.4755,9.6653
arch_naive_ann,6,0.0000,-0.4812,13.5588,51.0868,1186.27,-0.2406,32.3228,0.0000,0.2383,10.6495,6.1677,62.0000,0.1192,7.1671,0.0000,0.6037,8.6976,23.8088,367.87,0.3019,16.2532,0.0000,0.0724,2.8096,1.9304,165.3300,0.0362,1.3108,0.0000,-0.4593,12.2165,49.7148,1250.33,-0.2296,30.9656,0.0000,0.1536,5.2646,4.8546,186.0025,0.0768,4.1412,0.0000,0.5146,15.5623,27.4357,496.00,0.2573,21.4990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0196,11.3152,38.4969,777.07,0.0098,24.9060,0.0000,1.0477,9.2498,26.7353,687.1650,0.5238,14.3231
arch_naive_ann,7,-1.1271,-0.5779,29.3214,26.2749,1092.75,-0.8525,27.7981,1.5888,0.7400,13.2448,7.7923,395.2500,0.3496,3.1578,0.0342,-0.3677,11.9775,12.7584,472.75,-0.1667,12.3679,0.2590,0.2748,1.4161,2.6460,23.2500,0.2811,1.9421,-1.1918,-0.4742,28.5861,24.8316,1092.75,-0.8330,26.7088,1.7147,0.4079,13.0585,5.0673,395.2500,0.5793,3.3372,0.4529,0.3838,13.4721,14.2972,NaN,0.4183,13.8847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5077,-0.4658,20.0713,19.0661,886.08,-0.4868,19.5687,1.3349,0.7904,13.9430,11.1506,581.2500,1.0809,15.3852
arch_naive_ann,8,-0.6900,-0.5166,53.3839,51.7736,859.05,-0.6033,52.5787,1.0549,0.4114,18.2231,10.8096,663.4025,0.3919,5.5317,0.4394,0.4525,27.5298,27.0984,527.00,0.4460,27.3141,0.1086,0.1679,1.3471,3.9629,299.6700,0.0940,1.1210,-0.6358,-0.4593,51.2670,49.6477,981.67,-0.5476,50.4574,0.5475,0.1844,9.7723,6.2288,728.5025,0.2106,3.5522,0.4826,0.3749,28.3345,31.1423,NaN,0.4287,29.7384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0876,0.0003,39.5951,38.6135,708.12,-0.0437,39.1043,0.9611,1.0078,22.1770,23.6876,453.6350,0.9806,24.4619
arch_naive_ann,9,0.0000,0.0000,25.6811,17.6327,NaN,0.0000,21.6569,0.0000,0.0000,20.3484,5.2339,NaN,0.0000,9.7254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,20.7740,11.3117,NaN,0.0000,16.0429,0.0000,0.0000,14.9386,3.5082,NaN,0.0000,8.5807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,25.6811,17.6327,NaN,0.0000,21.6569,0.0000,0.0000,20.3484,5.2339,NaN,0.0000,9.7254
