test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
aug_all,1,-3.0915,0.0000,36.9116,13.4455,9778.00,-1.5458,25.1786,5.8818,0.0000,29.5617,26.2756,6340.5000,2.9409,20.5045,-3.9735,0.0000,19.0927,15.2864,1799.89,-1.9868,17.1896,4.4274,0.0000,5.0466,5.8806,1312.2100,2.2137,3.9806,-5.3439,0.0000,48.0690,2.3417,22154.25,-2.6719,25.2053,4.9048,0.0000,21.5802,1.9195,12792.7500,2.4524,11.7499,0.0451,0.0000,14.4175,8.3779,1016.54,0.0226,11.3977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4924,0.0000,28.8121,14.2823,6151.59,-1.7462,21.5472,6.8053,0.0000,7.6203,17.6574,4889.4800,3.4027,11.7179
aug_all,2,-0.6052,0.0000,52.5563,12.2382,7786.50,-0.3026,32.3972,0.8538,0.0000,13.0719,14.5122,11674.5000,0.4269,9.1727,0.5695,0.0000,22.3084,17.3493,879.07,0.2848,19.8288,0.1158,0.0000,0.8373,10.7900,86.6150,0.0579,4.7259,-0.9901,0.0000,58.5114,10.5327,8200.88,-0.4951,34.5220,0.9235,0.0000,12.0240,7.8204,5275.8750,0.4617,11.6719,0.6176,0.0000,23.0216,11.7520,552.50,0.3088,17.3868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213,0.0000,36.4240,14.9641,4102.54,0.0107,25.6941,1.0076,0.0000,28.0137,19.5169,3939.2500,0.5038,9.5692
aug_all,3,-0.2259,0.0000,54.2815,15.4339,3923.14,-0.1129,34.8577,1.1841,0.0000,27.1109,16.6583,5862.7500,0.5920,13.6325,0.6126,0.0000,27.5237,18.3937,530.84,0.3063,22.9587,0.0966,0.0000,3.5272,4.4815,140.3450,0.0483,3.1090,-0.3720,0.0000,57.2599,14.7721,4892.25,-0.1860,36.0160,0.3982,0.0000,11.5333,10.5595,2117.2500,0.1991,14.0039,0.6779,0.0000,26.9178,16.5693,680.36,0.3389,21.7435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2213,0.0000,40.0106,17.0125,2113.91,0.1106,28.5116,0.6536,0.0000,22.3616,14.1515,2702.6200,0.3268,13.0550
aug_all,4,-15.1651,0.0000,43.8723,9.4710,9679.29,-7.5825,26.6717,21.2180,0.0000,37.5463,5.2170,8910.0000,10.6090,25.4106,-0.8843,0.0000,11.6555,7.6792,3444.02,-0.4422,9.6673,1.1646,0.0000,6.6898,3.4764,2650.6475,0.5823,5.2393,-24.2766,0.0000,55.6541,4.9176,10517.62,-12.1383,30.2858,43.6683,0.0000,71.2546,3.0438,2735.6250,21.8342,33.6664,0.6509,0.0000,7.4230,6.6519,216.43,0.3255,7.0374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.5740,0.0000,29.0030,8.6440,6801.47,-4.2870,18.8235,4.0334,0.0000,13.3811,5.4897,11984.6200,2.0167,10.2928
aug_all,5,0.0000,-0.3194,42.5491,23.9473,9224.14,-0.1597,33.2482,0.0000,0.4372,69.0368,6.1393,8508.7500,0.2186,33.3194,0.0000,0.5017,6.6148,11.6200,2474.60,0.2509,9.1174,0.0000,0.2459,2.8234,1.2910,1058.0200,0.1229,1.7644,0.0000,-0.3677,64.6992,23.9457,5919.75,-0.1839,44.3225,0.0000,0.3897,29.6811,5.2608,3459.0000,0.1948,15.0858,0.0000,0.6499,7.9733,11.0708,1413.21,0.3250,9.5221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0596,25.9640,18.2578,6108.97,0.0298,22.1109,0.0000,0.8305,11.7921,13.5346,3183.2500,0.4153,13.0893
aug_all,6,0.0000,-0.0538,45.3432,42.7493,4170.75,-0.0269,44.0462,0.0000,0.2630,46.0937,5.1945,5679.0000,0.1315,21.0033,0.0000,0.5957,12.8013,23.9044,974.97,0.2979,18.3529,0.0000,0.1343,7.9484,4.1063,587.1425,0.0672,4.3101,0.0000,-0.0738,63.5121,42.3640,5310.50,-0.0369,52.9381,0.0000,0.1989,25.0292,2.1145,6778.5000,0.0994,13.0309,0.0000,0.6110,16.5591,24.5574,1177.50,0.3055,20.5583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.2460,30.3238,34.0517,2572.86,0.1230,32.1878,0.0000,0.5682,23.9359,16.3662,1176.0300,0.2841,23.8120
aug_all,7,-5.1730,-0.3783,43.9115,24.6081,11072.36,-2.7757,34.2598,11.1464,0.5801,47.4015,5.3931,10791.7500,5.4955,22.2698,-1.2964,-0.0854,17.2238,12.1616,1949.36,-0.6909,14.6927,0.5898,0.1892,2.1364,1.2703,2210.4625,0.3726,1.2605,-8.9503,-0.4617,59.6765,24.7980,14374.12,-4.7060,42.2373,6.2836,0.4514,18.5625,5.4746,12061.1250,2.8932,6.5439,-0.0823,0.5389,18.9453,12.3659,867.86,0.2283,15.6556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.1055,-0.2221,29.6781,17.9699,6206.76,-1.6638,23.8240,4.1712,0.6768,8.5907,10.3370,3552.8550,2.6917,10.8832
aug_all,8,-0.8168,-0.3114,54.2406,47.8353,8464.29,-0.5641,51.0380,1.4910,0.5320,24.4841,11.8105,6365.2500,0.7192,8.9306,0.2014,0.2529,32.6520,31.4996,367.50,0.2271,32.0758,0.2133,0.2629,3.9124,3.0560,160.7000,0.1167,1.1556,-1.1657,-0.3638,58.1040,47.7843,10443.38,-0.7647,52.9441,0.9804,0.3103,15.8751,8.5555,8431.1250,0.3860,4.7470,0.2833,0.4149,33.3405,30.1243,402.86,0.3491,31.7324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2738,-0.0105,42.7267,39.1229,4146.00,-0.1421,40.9248,1.0130,0.5970,20.2904,16.0773,5527.4300,0.7052,17.0068
aug_all,9,0.0000,0.0000,46.0944,7.3015,NaN,0.0000,26.6979,0.0000,0.0000,77.0018,2.7729,NaN,0.0000,36.9316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,62.1604,4.1905,NaN,0.0000,33.1754,0.0000,0.0000,29.8319,2.5268,NaN,0.0000,16.1794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,46.0944,7.3015,NaN,0.0000,26.6979,0.0000,0.0000,77.0018,2.7729,NaN,0.0000,36.9316
aug_independent,1,-1.4463,0.0000,28.6007,29.4102,10070.75,-0.7231,29.0054,0.4103,0.0000,3.3867,50.7396,10170.0000,0.2051,33.4532,-3.1895,0.0000,17.4251,14.2291,3688.00,-1.5948,15.8271,3.4156,0.0000,4.2035,6.9796,2241.1500,1.7078,2.4408,-4.2521,0.0000,42.7213,28.7667,18836.25,-2.1260,35.7440,4.3353,0.0000,21.5793,27.7184,16110.7500,2.1676,24.6489,0.2521,0.0000,12.7595,4.9618,2248.85,0.1260,8.8606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2387,0.0000,23.5209,22.5097,7169.50,-1.1193,23.0153,4.1004,0.0000,6.1051,29.1787,6284.0750,2.0502,13.3613
