test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
filter_bandpass_only,1,-1.6227,0.0000,31.1594,16.4713,10503.75,-0.8114,23.8154,1.5566,0.0000,11.1338,20.6189,5419.1250,0.7783,17.1353,-2.6624,0.0000,16.6329,13.0584,4615.82,-1.3312,14.8456,3.3948,0.0000,2.9405,5.5623,4444.0600,1.6974,4.0353,-3.7616,0.0000,42.2473,2.9257,19613.25,-1.8808,22.5865,3.4994,0.0000,17.4397,2.0570,15341.2500,1.7497,9.7483,0.2034,0.0000,13.1679,7.0398,7187.31,0.1017,10.1038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0953,0.0000,24.5564,14.9200,7827.42,-1.0476,19.7382,3.4186,0.0000,8.1135,14.2936,3679.6850,1.7093,9.1699
filter_bandpass_only,2,-0.6087,0.0000,53.3796,9.5052,11950.07,-0.3044,31.4424,0.5707,0.0000,8.6427,10.9572,15030.0000,0.2853,7.8111,0.3682,0.0000,27.1102,15.2352,490.84,0.1841,21.1727,0.1232,0.0000,6.1735,10.1122,301.7875,0.0616,2.3217,-0.8809,0.0000,57.1273,8.5965,8712.00,-0.4405,32.8619,1.0112,0.0000,12.5742,5.6010,8085.7500,0.5056,9.7611,0.4339,0.0000,28.0106,10.6332,237.50,0.2170,19.3219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0877,0.0000,39.3692,12.5612,5838.48,-0.0439,25.9652,0.7631,0.0000,24.4312,16.7447,7489.8400,0.3815,5.6006
filter_bandpass_only,3,-0.2277,0.0000,56.1392,14.1305,3462.43,-0.1138,35.1348,0.5967,0.0000,11.9945,16.6285,2109.7500,0.2984,12.5939,0.5141,0.0000,30.5146,17.0978,358.41,0.2571,23.8062,0.3185,0.0000,9.0744,3.6882,88.6450,0.1592,6.0170,-0.2705,0.0000,56.5042,15.3171,4012.88,-0.1353,35.9106,0.4036,0.0000,10.6353,17.1253,2434.1250,0.2018,15.2395,0.6464,0.0000,28.2036,16.2195,345.00,0.3232,22.2116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1679,0.0000,42.4727,15.7131,1806.95,0.0840,29.0929,0.6214,0.0000,21.8447,11.7351,2196.2500,0.3107,9.6679
filter_bandpass_only,4,-13.1683,0.0000,41.5101,8.9901,12129.64,-6.5842,25.2501,18.2017,0.0000,33.7221,5.1713,7485.0000,9.1008,22.1892,-1.3647,0.0000,13.1417,7.5508,5400.79,-0.6824,10.3463,0.6360,0.0000,2.6261,3.1755,6445.9175,0.3180,2.7714,-21.4868,0.0000,54.3366,5.0772,12280.88,-10.7434,29.7069,36.8664,0.0000,60.5188,3.0573,7342.1250,18.4332,30.5906,0.2589,0.0000,10.8156,8.8130,1515.00,0.1295,9.8143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.7205,0.0000,28.4170,8.3258,9024.02,-3.8603,18.3714,3.2603,0.0000,11.0426,4.6999,9220.5000,1.6301,6.0351
filter_bandpass_only,5,0.0000,-0.4418,36.9681,24.7736,15337.71,-0.2209,30.8709,0.0000,0.6265,51.7707,7.8254,15276.7500,0.3133,26.5365,0.0000,0.4266,7.1640,12.5376,3929.78,0.2133,9.8508,0.0000,0.1848,1.6531,1.3440,3209.8125,0.0924,0.8005,0.0000,-0.6568,56.8877,26.1664,10237.12,-0.3284,41.5271,0.0000,0.6204,19.8446,6.3893,4990.8750,0.3102,14.0694,0.0000,0.5353,9.3535,12.7546,2122.50,0.2676,11.0541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.0410,23.2124,19.1262,10072.52,-0.0205,21.1693,0.0000,0.7831,7.8864,11.4597,9415.5000,0.3915,10.9897
filter_bandpass_only,6,0.0000,-0.0802,38.0917,43.2013,13029.00,-0.0401,40.6465,0.0000,0.4063,45.0365,7.8476,14573.2500,0.2031,17.1745,0.0000,0.5644,12.4146,24.8286,1002.61,0.2822,18.6216,0.0000,0.1498,5.8649,4.5298,1271.2200,0.0749,3.2175,0.0000,-0.0066,56.0777,40.7193,7855.88,-0.0033,48.3985,0.0000,0.4909,25.5525,7.2328,4989.3750,0.2454,14.3209,0.0000,0.5749,19.7806,25.6706,267.86,0.2874,22.7256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.2173,26.2407,34.7216,7478.36,0.1087,30.4812,0.0000,0.5620,11.3287,15.7848,17854.5000,0.2810,19.3134
filter_bandpass_only,7,-4.2035,-0.2715,40.9066,23.6382,6649.07,-2.2375,32.2724,7.0726,0.4085,32.4688,3.5896,2664.7500,3.3857,13.8955,-1.0387,-0.1861,17.3875,12.5813,3221.61,-0.6124,14.9844,0.3647,0.4114,2.3331,2.8472,2262.5650,0.2539,1.1252,-7.1530,-0.2539,53.2195,22.8984,4135.88,-3.7035,38.0589,8.4287,0.3505,28.8195,2.7213,1315.8750,4.1762,13.2710,-0.1229,0.4861,19.2975,13.0551,3093.21,0.1816,16.1763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5156,-0.2259,28.3631,17.7412,4821.09,-1.3708,23.0521,2.2929,0.3883,8.1416,9.4112,3363.6250,1.1624,10.6303
filter_bandpass_only,8,-0.7683,-0.3457,54.8251,48.5417,18598.50,-0.5570,51.6834,0.7658,0.5206,13.9751,9.9111,11881.5000,0.3161,5.0817,0.0408,0.2242,35.8051,32.0745,318.52,0.1325,33.9398,0.2152,0.2731,2.9570,5.1216,133.1400,0.1990,2.1248,-0.9407,-0.3631,55.8513,47.7175,21702.75,-0.6519,51.7844,0.9805,0.3334,15.5409,9.0077,23661.7500,0.4398,3.9631,0.2335,0.3177,34.4788,32.5305,380.36,0.2756,33.5046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3368,-0.0417,44.6811,39.7592,8849.18,-0.1893,42.2202,0.5847,0.6092,14.7315,14.6949,10382.2500,0.6306,17.0604
filter_bandpass_only,9,0.0000,0.0000,38.2016,12.3754,NaN,0.0000,25.2885,0.0000,0.0000,49.1195,21.7007,NaN,0.0000,30.7263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,54.2105,10.5818,NaN,0.0000,32.3962,0.0000,0.0000,35.1198,9.5650,NaN,0.0000,22.3424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,38.2016,12.3754,NaN,0.0000,25.2885,0.0000,0.0000,49.1195,21.7007,NaN,0.0000,30.7263
filter_base,1,-1.6379,0.0000,31.0707,28.2850,12791.25,-0.8189,29.6778,0.5023,0.0000,5.5686,49.7445,15521.2500,0.2512,26.2564,-3.7725,0.0000,18.3329,13.9792,3188.07,-1.8862,16.1561,4.7115,0.0000,5.7082,5.8409,1339.0600,2.3558,3.5603,-4.4457,0.0000,45.7445,30.3841,19392.00,-2.2229,38.0643,3.7965,0.0000,17.3879,30.1394,16192.5000,1.8983,23.7637,0.3428,0.0000,11.9602,6.4520,2361.92,0.1714,9.2061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.6082,0.0000,25.2808,21.7824,8426.17,-1.3041,23.5316,4.8114,0.0000,5.5666,18.4748,5639.0700,2.4057,10.1747
