test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
step_10ms,1,-2.1293,0.0000,32.4345,15.4243,1122.50,-1.0646,23.9294,2.8681,0.0000,17.6435,22.0088,1207.5000,1.4340,19.4787,-1.7860,0.0000,14.0559,12.9031,NaN,-0.8930,13.4795,2.9972,0.0000,6.0588,7.2520,NaN,1.4986,1.3618,-4.6652,0.0000,44.6861,2.9021,390.00,-2.3326,23.7941,4.6021,0.0000,21.9241,1.9230,NaN,2.3010,11.9236,0.4739,0.0000,10.7052,5.4035,NaN,0.2369,8.0543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9733,0.0000,24.0806,14.2783,1122.50,-0.9866,19.1794,3.3163,0.0000,7.1989,15.6769,1207.5000,1.6582,10.1077
step_10ms,2,-0.4465,0.0000,50.3244,12.4131,628.00,-0.2232,31.3688,0.6073,0.0000,9.8561,19.1031,220.0000,0.3036,13.6404,0.8159,0.0000,14.2599,18.0667,142.75,0.4080,16.1634,0.0786,0.0000,2.0260,12.4756,106.2500,0.0393,7.4633,-0.7144,0.0000,54.0548,11.5145,505.00,-0.3572,32.7847,1.1827,0.0000,16.6253,14.4708,145.0000,0.5914,16.6961,0.8702,0.0000,13.4215,11.9800,104.00,0.4351,12.7007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2268,0.0000,31.0900,15.4284,412.33,0.1134,23.2592,0.9566,0.0000,32.3414,19.7721,345.0000,0.4783,10.2760
step_10ms,3,-0.1173,0.0000,52.6552,17.0619,644.17,-0.0587,34.8586,0.8205,0.0000,20.9514,20.3524,571.2500,0.4102,19.7817,0.8024,0.0000,19.4826,20.3081,146.91,0.4012,19.8953,0.0501,0.0000,2.1100,6.3399,12.2350,0.0251,2.9274,-0.1610,0.0000,52.9467,16.7767,451.25,-0.0805,34.8617,0.6362,0.0000,16.8264,19.9636,418.7500,0.3181,18.9241,0.8786,0.0000,16.5236,20.7206,142.73,0.4393,18.6221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3732,0.0000,34.9631,18.7932,395.54,0.1866,26.8782,0.8407,0.0000,31.1124,15.4359,487.9525,0.4204,12.8273
step_10ms,4,-13.1078,0.0000,41.4641,8.7431,453.33,-6.5539,25.1036,15.5458,0.0000,29.7380,6.9686,60.0000,7.7729,21.5735,-0.5315,0.0000,9.3141,2.4231,NaN,-0.2658,5.8686,0.2874,0.0000,1.8710,1.3570,NaN,0.1437,1.7535,-21.0923,0.0000,53.0063,2.9573,233.33,-10.5461,27.9818,34.7085,0.0000,59.8272,3.8054,30.0000,17.3543,31.8163,0.6404,0.0000,7.5371,3.5433,NaN,0.3202,5.5402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.3034,0.0000,26.6256,5.8262,453.33,-3.6517,16.2259,3.6295,0.0000,19.8756,2.9273,60.0000,1.8147,12.7689
step_10ms,5,0.0000,-0.3845,41.4168,24.3256,680.00,-0.1922,32.8712,0.0000,0.3984,55.1968,5.8968,660.0000,0.1992,28.8752,0.0000,0.8589,6.8794,6.2644,253.33,0.4294,6.5719,0.0000,0.0490,1.9366,1.4992,170.0000,0.0245,1.1056,0.0000,-0.5499,61.4119,25.4648,363.33,-0.2749,43.4383,0.0000,0.5072,27.4903,5.6491,350.0000,0.2536,16.2428,0.0000,0.8734,7.7843,6.6549,370.00,0.4367,7.2196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.1894,25.4765,15.9897,497.14,0.0947,20.7331,0.0000,1.1682,14.7178,18.1710,345.0000,0.5841,17.2203
step_10ms,6,0.0000,-0.0907,43.6635,43.6276,939.72,-0.0454,43.6455,0.0000,0.2666,39.3873,4.1023,983.7525,0.1333,17.3636,0.0000,0.8890,10.8531,12.5185,171.45,0.4445,11.6858,0.0000,0.0341,8.5889,1.5301,70.0575,0.0171,4.9871,0.0000,-0.0567,60.5693,41.9795,519.58,-0.0283,51.2744,0.0000,0.2576,27.0251,3.6771,271.2525,0.1288,14.8269,0.0000,0.9068,17.4921,12.0194,120.00,0.4534,14.7557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.3614,28.5202,29.2695,632.41,0.1807,28.8949,0.0000,0.9839,27.6948,30.6094,755.8350,0.4919,31.6355
step_10ms,7,-3.8196,-0.3061,38.4508,24.0113,717.00,-2.0629,31.2310,7.5533,0.3578,34.9737,4.4802,710.0000,3.5657,14.6476,-0.1819,0.1232,11.2186,8.4224,197.50,-0.0294,9.8205,0.3959,0.2629,4.3389,2.6004,7.5000,0.3672,2.7508,-6.6749,-0.2933,50.9459,23.3219,418.33,-3.4841,37.1339,9.8221,0.2226,35.0421,2.2476,162.5000,4.9659,17.4661,0.3540,0.9182,14.6395,5.2098,NaN,0.6361,9.9246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.8795,-0.0772,23.9269,15.6973,568.57,-0.9783,19.8121,2.0242,1.0075,11.7023,14.1233,640.0000,1.4889,15.1430
step_10ms,8,-0.7625,-0.4236,54.0320,50.1861,860.00,-0.5931,52.1091,1.3477,0.2912,21.4722,8.2942,1055.0000,0.6363,8.3311,0.6485,0.7565,21.1794,17.5844,182.42,0.7025,19.3819,0.1781,0.1911,4.1978,5.4311,110.0000,0.1604,3.4474,-0.9535,-0.4194,55.5144,48.9634,480.00,-0.6864,52.2389,1.1193,0.1916,17.8211,6.3522,420.0000,0.4435,6.2847,0.7569,0.8464,19.4220,15.4370,140.00,0.8016,17.4295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0100,0.2058,36.5106,32.7985,552.01,0.0979,34.6546,1.3183,1.2651,31.5057,32.0415,637.2750,1.1827,30.1863
step_10ms,9,0.0000,0.0000,39.3302,14.5693,NaN,0.0000,26.9497,0.0000,0.0000,39.8830,26.4734,NaN,0.0000,27.2779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,53.9908,8.5408,NaN,0.0000,31.2658,0.0000,0.0000,35.6540,8.5787,NaN,0.0000,22.9403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,39.3302,14.5693,NaN,0.0000,26.9497,0.0000,0.0000,39.8830,26.4734,NaN,0.0000,27.2779
step_15ms,1,-2.5375,0.0000,33.5582,17.8226,1072.50,-1.2687,25.6904,1.9325,0.0000,13.3414,26.2085,1237.5000,0.9662,24.1049,-1.9722,0.0000,14.6910,9.8001,NaN,-0.9861,12.2455,2.8292,0.0000,3.7193,2.3881,NaN,1.4146,2.1062,-6.3895,0.0000,49.5325,1.5768,315.00,-3.1947,25.5547,6.4106,0.0000,27.6901,1.3772,NaN,3.2053,14.5337,0.5265,0.0000,10.1568,4.4983,NaN,0.2632,7.3276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2805,0.0000,24.9822,14.1760,1072.50,-1.1403,19.5791,3.0861,0.0000,8.7264,12.2509,1237.5000,1.5431,11.2007
