test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
tfFroz_cP1,1,-2.6075,0.0000,37.9226,33.8174,7142.25,-1.3038,35.8700,4.8513,0.0000,30.4814,44.0218,7451.6250,2.4256,5.9902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2308,0.0000,42.6958,22.2931,3852.75,-1.6154,32.4945,2.2658,0.0000,13.5852,12.4717,210.7500,1.1329,0.5567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.6075,0.0000,37.9226,33.8174,7142.25,-1.3038,35.8700,4.8513,0.0000,30.4814,44.0218,7451.6250,2.4256,5.9902
tfFroz_cP1,2,-0.8587,0.0000,55.1326,29.1469,9519.43,-0.4294,42.1398,1.4873,0.0000,24.0266,39.9034,9521.2500,0.7437,8.3930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2638,0.0000,62.9359,32.2276,9957.38,-0.6319,47.5817,1.2252,0.0000,19.2623,34.2208,10526.6250,0.6126,6.2946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.8587,0.0000,55.1326,29.1469,9519.43,-0.4294,42.1398,1.4873,0.0000,24.0266,39.9034,9521.2500,0.7437,8.3930
tfFroz_cP1,3,-0.1692,0.0000,54.2210,37.7156,5789.14,-0.0846,45.9683,0.5320,0.0000,11.3641,40.0153,4401.0000,0.2660,17.7484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3338,0.0000,57.7575,41.5775,8068.50,-0.1669,49.6675,0.5899,0.0000,11.9444,43.1149,3652.5000,0.2949,13.9864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1692,0.0000,54.2210,37.7156,5789.14,-0.0846,45.9683,0.5320,0.0000,11.3641,40.0153,4401.0000,0.2660,17.7484
tfFroz_cP1,4,-10.3729,0.0000,39.9837,34.3962,11250.86,-5.1864,37.1899,17.7478,0.0000,40.3383,52.9637,7902.7500,8.8739,50.2040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.2310,0.0000,44.6987,37.7955,7348.88,-6.6155,41.2471,21.3493,0.0000,42.6792,42.6482,4323.3750,10.6746,45.9007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.3729,0.0000,39.9837,34.3962,11250.86,-5.1864,37.1899,17.7478,0.0000,40.3383,52.9637,7902.7500,8.8739,50.2040
tfFroz_cP1,5,0.0000,-2.3907,34.9973,35.2523,7416.21,-1.1953,35.1248,0.0000,3.3612,22.5402,22.9380,3213.7500,1.6806,22.5125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-2.9458,47.1634,37.6064,8516.62,-1.4729,42.3849,0.0000,3.5886,37.2624,20.0607,6676.1250,1.7943,33.2909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-2.3907,34.9973,35.2523,7416.21,-1.1953,35.1248,0.0000,3.3612,22.5402,22.9380,3213.7500,1.6806,22.5125
tfFroz_cP1,6,0.0000,0.0095,39.2129,40.4106,4600.50,0.0048,39.8118,0.0000,0.6529,27.4831,14.7157,7134.0000,0.3265,9.8742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.0554,51.6114,41.6632,2696.62,-0.0277,46.6373,0.0000,0.5917,9.8696,11.0044,3671.6250,0.2959,14.5210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0095,39.2129,40.4106,4600.50,0.0048,39.8118,0.0000,0.6529,27.4831,14.7157,7134.0000,0.3265,9.8742
tfFroz_cP1,7,-2.7773,-2.7671,37.9684,38.5861,3492.86,-2.7722,38.2773,3.0194,2.1773,19.8384,13.0116,3543.0000,1.6435,6.3687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.0686,-3.7131,45.0309,43.1394,3317.62,-3.8908,44.0851,2.4608,3.2481,13.5989,14.9214,2357.6250,1.7570,3.1152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7773,-2.7671,37.9684,38.5861,3492.86,-2.7722,38.2773,3.0194,2.1773,19.8384,13.0116,3543.0000,1.6435,6.3687
tfFroz_cP1,8,-0.3366,-0.2741,46.9493,46.1381,14902.50,-0.3054,46.5437,0.8223,0.8455,16.9434,17.4246,13230.7500,0.7411,14.9097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4005,-0.3563,47.7802,47.2093,18865.88,-0.3784,47.4948,0.4893,0.6893,11.0346,12.5088,20362.1250,0.4842,8.4083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3366,-0.2741,46.9493,46.1381,14902.50,-0.3054,46.5437,0.8223,0.8455,16.9434,17.4246,13230.7500,0.7411,14.9097
tfFroz_cP1,9,0.0000,0.0000,20.4336,30.1559,NaN,0.0000,25.2948,0.0000,0.0000,15.1053,46.4176,NaN,0.0000,21.4269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,27.3133,35.6763,NaN,0.0000,31.4948,0.0000,0.0000,6.3764,50.7069,NaN,0.0000,28.6534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,20.4336,30.1559,NaN,0.0000,25.2948,0.0000,0.0000,15.1053,46.4176,NaN,0.0000,21.4269
tfFroz_cP2,1,-0.8898,0.0000,27.5063,37.7809,10236.00,-0.4449,32.6436,0.5152,0.0000,5.6116,47.7458,7190.6250,0.2576,29.0539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3509,0.0000,36.7715,35.3434,20659.50,-1.1755,36.0575,2.0312,0.0000,11.4054,27.6740,14295.0000,1.0156,19.5398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.8898,0.0000,27.5063,37.7809,10236.00,-0.4449,32.6436,0.5152,0.0000,5.6116,47.7458,7190.6250,0.2576,29.0539
