test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
window_100ms,1,-0.5053,0.0000,25.7702,19.1153,762.00,-0.2526,22.4428,0.5505,0.0000,4.8670,32.6821,54.0000,0.2753,11.8941,-1.1144,0.0000,12.0958,7.2234,NaN,-0.5572,9.6596,2.3884,0.0000,3.8953,3.5488,NaN,1.1942,3.2392,-1.2763,0.0000,32.1236,21.4672,708.00,-0.6381,26.7954,0.6554,0.0000,5.6840,19.8573,NaN,0.3277,7.0867,0.7576,0.0000,7.2635,5.0493,NaN,0.3788,6.1564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7822,0.0000,19.5545,13.7099,762.00,-0.3911,16.6322,1.6235,0.0000,11.1644,18.3122,54.0000,0.8117,13.0827
window_100ms,2,-0.1018,0.0000,44.1916,12.6557,1114.50,-0.0509,28.4236,0.2988,0.0000,6.7297,19.0718,616.5000,0.1494,9.5776,0.8019,0.0000,15.0771,7.0106,320.00,0.4009,11.0438,0.0752,0.0000,2.3360,2.5299,78.0000,0.0376,2.1055,-0.1212,0.0000,43.6424,13.6349,830.00,-0.0606,28.6387,0.5342,0.0000,12.2764,10.2183,312.0000,0.2671,7.9663,0.8829,0.0000,12.7408,7.6522,NaN,0.4415,10.1965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3802,0.0000,28.6639,9.6450,774.00,0.1901,19.1544,0.7801,0.0000,28.0086,7.0744,633.0000,0.3901,13.5374
window_100ms,3,0.0402,0.0000,49.8895,14.5468,732.00,0.0201,32.2182,0.4859,0.0000,12.5715,23.7576,618.0000,0.2429,12.1681,0.7935,0.0000,19.8944,9.4516,243.60,0.3968,14.6730,0.0692,0.0000,3.6023,2.5465,192.0000,0.0346,1.0977,0.1279,0.0000,47.0065,16.8195,376.00,0.0639,31.9130,0.1374,0.0000,6.4118,14.8286,258.0000,0.0687,10.4208,0.8733,0.0000,16.8800,14.3593,414.00,0.4366,15.6197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4420,0.0000,33.8921,11.8294,460.67,0.2210,22.8607,0.6096,0.0000,27.4572,8.1985,282.0000,0.3048,13.8732
window_100ms,4,-8.9931,0.0000,39.5543,13.4955,834.00,-4.4965,26.5249,11.2971,0.0000,27.7650,18.7554,612.0000,5.6486,10.3373,0.0249,0.0000,7.9970,2.4794,NaN,0.0125,5.2382,0.2547,0.0000,1.5641,0.7748,NaN,0.1273,0.7859,-12.5588,0.0000,47.1021,15.2526,834.00,-6.2794,31.1774,8.0372,0.0000,13.4567,18.4877,612.0000,4.0186,15.9722,0.7558,0.0000,6.2089,2.8541,NaN,0.3779,4.5315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.8309,0.0000,24.9894,8.4112,834.00,-2.4155,16.7003,10.1898,0.0000,37.7934,1.5876,612.0000,5.0949,18.4310
window_100ms,5,0.0000,-1.2535,29.8366,30.2475,548.00,-0.6268,30.0420,0.0000,1.5291,28.0782,10.2549,216.0000,0.7645,13.6661,0.0000,0.7800,5.7627,7.6813,132.00,0.3900,6.7220,0.0000,0.0869,2.4719,1.0225,48.0000,0.0434,2.1874,0.0000,-1.8536,38.8703,33.4101,217.33,-0.9268,36.1402,0.0000,2.8037,12.1342,17.7498,108.0000,1.4019,7.6529,0.0000,0.7515,6.0549,9.3274,180.00,0.3757,7.6912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.3150,18.7255,19.8324,429.14,-0.1575,19.2789,0.0000,1.3701,34.1961,19.7843,144.0000,0.6850,26.1073
window_100ms,6,0.0000,-0.1731,25.8705,44.9566,764.50,-0.0865,35.4136,0.0000,0.8011,33.0397,17.7244,573.5000,0.4005,16.6964,0.0000,0.8334,7.5879,15.3617,174.67,0.4167,11.4748,0.0000,0.0461,8.0248,1.8911,70.0000,0.0230,3.7672,0.0000,-0.0316,31.5952,41.2800,367.33,-0.0158,36.4376,0.0000,0.3507,22.0744,8.9370,217.0000,0.1754,11.2988,0.0000,0.8612,15.3039,14.6682,224.00,0.4306,14.9861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.2915,17.4324,31.2974,511.71,0.1457,24.3649,0.0000,0.7259,20.0755,24.2485,313.0000,0.3629,19.3589
window_100ms,7,-0.9192,-1.1261,28.2132,29.4856,520.80,-1.0226,28.8494,1.3859,0.4609,10.6249,2.6353,360.0000,1.1732,7.9027,0.4020,0.2441,9.0115,9.3958,72.00,0.3231,9.2037,0.2087,0.2722,2.0724,1.9412,NaN,0.1910,1.5315,-1.1958,-1.6126,29.7161,31.7841,272.00,-1.4042,30.7501,1.7130,1.3479,11.7997,5.7529,222.0000,0.5450,5.7007,0.5385,0.8129,12.3716,7.8762,NaN,0.6757,10.1239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2145,-0.3953,17.9723,18.7711,446.00,-0.3049,18.3717,1.5256,1.1882,17.1730,17.8503,351.0000,1.8723,19.4456
window_100ms,8,-0.1789,-0.4937,45.2736,51.3284,510.00,-0.3363,48.3010,0.5270,0.3712,9.1380,11.4184,246.0000,0.0946,2.8871,0.6882,0.5758,20.2335,23.0392,277.28,0.6320,21.6363,0.1466,0.1515,4.2852,3.5110,106.7150,0.1031,1.9989,-0.0959,-0.4920,42.6677,50.2104,392.00,-0.2939,46.4390,0.2306,0.2504,5.4721,7.1715,240.0000,0.1477,3.1510,0.5798,0.4763,25.5281,28.5009,504.00,0.5281,27.0145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2836,0.0767,31.9189,36.2408,393.64,0.1801,34.0798,0.7847,1.0519,24.2900,25.0219,322.7150,1.0054,27.4166
window_100ms,9,0.0000,0.0000,20.6790,21.7600,NaN,0.0000,21.2195,0.0000,0.0000,29.6367,33.0666,NaN,0.0000,12.1047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,19.6632,28.5349,NaN,0.0000,24.0991,0.0000,0.0000,21.0213,30.6675,NaN,0.0000,9.7457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,20.6790,21.7600,NaN,0.0000,21.2195,0.0000,0.0000,29.6367,33.0666,NaN,0.0000,12.1047
window_150ms,1,-0.8518,0.0000,28.3758,18.7858,1000.67,-0.4259,23.5808,1.1003,0.0000,9.6901,28.7231,532.0000,0.5502,16.9755,-1.0094,0.0000,12.0094,7.0782,NaN,-0.5047,9.5438,2.2571,0.0000,3.8469,2.5022,NaN,1.1286,3.6768,-2.0635,0.0000,37.2876,18.0063,608.00,-1.0317,27.6469,0.4855,0.0000,1.8372,16.4143,NaN,0.2428,9.1258,0.6710,0.0000,8.4636,6.2074,NaN,0.3355,7.3355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9234,0.0000,20.9366,13.4642,1000.67,-0.4617,17.2004,1.7887,0.0000,12.0790,12.0356,532.0000,0.8944,11.2579
