epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,10.911518,9.393426,363.951822,0.00025,32.2856,True
2,9.762681,8.922418,338.775826,0.00025,31.1705,True
3,9.44811,8.706905,320.65953,0.00025,31.1777,True
4,9.223008,8.589163,304.782956,0.00025,31.1553,True
5,9.159653,8.240421,288.75184,0.00025,31.0892,True
6,8.934521,8.11526,274.562212,0.00025,31.179,True
7,8.804713,7.950674,260.747747,0.00025,31.0435,True
8,8.645928,7.752671,249.00717,0.00025,31.4467,True
9,8.532968,7.531753,237.844312,0.00025,31.0707,True
10,8.350347,7.435932,227.88762,0.00025,31.5558,True
11,8.272145,7.105694,219.199245,0.00025,31.1562,True
12,8.157067,6.916413,211.475792,0.00025,31.3106,True
13,8.022372,6.873438,205.363599,0.00025,31.1586,True
14,7.877377,6.818702,199.820292,0.00025,31.3253,True
15,7.825219,6.828412,195.679631,0.00025,31.161,True
16,7.834863,6.507425,191.012212,0.00025,31.3478,True
17,7.704612,6.41683,187.310771,0.00025,31.2691,True
18,7.663646,6.445486,185.116647,0.00025,31.4689,True
19,7.606988,6.32047,182.100995,0.00025,31.1855,True
20,7.568452,6.180035,179.657375,0.00025,32.8642,True
21,7.565862,5.952014,177.55437,0.00025,33.5381,True
22,7.402798,6.189805,175.774167,0.00025,31.9467,True
23,7.457472,6.108698,174.133462,0.00025,31.1822,True
24,7.484822,5.790984,172.45989,0.00025,31.2664,True
25,7.350272,5.980296,171.135092,0.00025,31.4895,True
26,7.363984,5.962909,169.778144,0.00025,31.6034,True
27,7.371248,5.878495,168.40651,0.00025,31.4926,True
28,7.353026,5.766051,167.996806,0.00025,31.2297,True
29,7.319138,5.729169,166.292301,0.00025,31.8465,True
30,7.277269,5.748878,165.23625,0.00025,31.284,True
31,7.288514,5.667328,164.72174,0.00025,31.7588,True
32,7.26132,5.718116,164.763822,0.00025,34.1423,False
33,7.245487,5.619576,163.040181,0.00025,31.913,True
34,7.214502,5.655212,161.787538,0.00025,31.7503,True
35,7.206087,5.617678,161.436192,0.00025,31.8804,True
36,7.203441,5.550597,160.212624,0.00025,31.8746,True
37,7.204388,5.524869,159.872868,0.00025,32.2362,True
38,7.103797,5.681328,159.469551,0.00025,31.921,True
39,7.215493,5.547502,159.292164,0.00025,31.4691,True
40,7.152608,5.489148,157.966058,0.00025,32.5065,True
41,7.094715,5.601337,158.072872,0.00025,31.6065,False
42,7.095555,5.569818,157.681742,0.00025,30.5406,True
43,7.109518,5.593717,157.37737,0.00025,29.1834,True
44,7.131115,5.478072,156.130661,0.00025,29.742,True
45,7.069238,5.484813,156.370932,0.00025,31.7538,False
46,7.115399,5.356261,157.339613,0.00025,31.7667,False
47,6.938317,5.736134,156.666645,0.00025,31.5773,False
48,7.128006,5.356625,154.851668,0.00025,32.0505,True
49,7.026765,5.428821,155.106026,0.00025,31.6072,False
50,7.069416,5.28711,154.182206,0.00025,32.1033,True
51,6.998115,5.404134,154.237207,0.00025,31.3693,False
52,7.053703,5.18513,153.202496,0.00025,31.4314,True
53,6.964709,5.272791,153.294172,0.00025,31.1075,False
54,6.973987,5.352118,152.624409,0.00025,31.3985,True
55,6.996554,5.211148,151.969808,0.00025,32.0344,True
56,6.968744,5.371855,152.16639,0.00025,31.7366,False
57,6.950876,5.416497,154.364555,0.00025,32.4558,False
58,6.973002,5.378727,151.886567,0.00025,32.3888,True
59,6.976923,5.274097,151.78061,0.00025,31.825,True
60,6.95694,5.246624,151.606175,0.00025,31.8048,True
61,6.962305,5.200873,150.848985,0.00025,31.2351,True
62,6.907603,5.373034,151.49409,0.00025,31.1653,False
63,6.926239,5.352065,151.36104,0.00025,31.1503,False
64,6.899693,5.425243,151.308784,0.00025,34.1546,False
65,6.977783,5.147569,149.898145,0.00025,41.5441,True
66,6.906973,5.202167,150.143574,0.00025,39.1737,False
67,6.900697,5.212654,149.67688,0.00025,40.4719,True
68,6.898285,5.182555,150.181717,0.00025,39.5982,False
69,6.919924,5.087221,150.30579,0.00025,39.701,False
70,6.846743,5.270657,149.925454,0.00025,39.7085,False
71,6.852962,5.317854,151.258983,0.00025,37.4652,False
72,6.934298,5.076779,148.405947,0.00025,37.846,True
73,6.902456,4.970667,149.617297,0.00025,37.9886,False
74,6.81693,5.163908,148.548616,0.00025,38.0838,False
75,6.823137,5.360238,148.058428,0.00025,38.3667,True
76,6.898806,5.260582,150.686416,0.00025,38.1891,False
77,6.818251,5.29191,149.032161,0.00025,38.0622,False
78,6.869141,5.210882,147.60205,0.00025,36.1891,True
79,6.86452,5.192269,148.203063,0.00025,36.9253,False
80,6.862735,5.088357,148.547811,0.00025,37.0341,False
81,6.822585,5.07727,148.751225,0.00025,35.3431,False
82,6.831951,5.165584,148.198949,0.00025,35.7301,False
83,6.84322,5.133412,147.516309,0.00025,37.2727,True
84,6.787981,5.264924,147.669495,0.00025,37.7163,False
85,6.879609,5.081535,148.280684,0.00025,37.2001,False
86,6.755089,5.221336,146.866656,0.00025,37.1894,True
87,6.807737,5.226627,147.252567,0.00025,37.5224,False
88,6.862457,4.939827,148.643445,0.00025,38.1655,False
89,6.765513,5.058581,146.395652,0.00025,38.1355,True
90,6.789866,5.024363,146.08098,0.00025,38.2576,True
91,6.790979,5.015888,147.227549,0.00025,37.8217,False
92,6.767349,5.2285,148.914058,0.00025,37.5794,False
93,6.805907,5.092557,146.695401,0.00025,37.5634,False
94,6.754553,5.237711,147.133678,0.00025,38.4505,False
95,6.843476,4.954435,147.207534,0.00025,36.7991,False
96,6.74499,5.154175,145.811458,0.00025,37.0005,True
97,6.805,4.960169,147.367539,0.00025,37.2798,False
98,6.754769,5.099021,147.690824,0.00025,37.5729,False
99,6.795403,5.024081,145.531944,0.00025,37.6154,True
100,6.775399,4.95963,146.113285,0.00025,37.7286,False
101,6.751698,5.039395,145.231214,0.00025,37.6764,True
102,6.787848,4.978529,145.76024,0.00025,36.4502,False
103,6.730693,5.199875,144.950783,0.00025,37.2012,True
104,6.749364,5.204425,144.619664,0.00025,37.4128,True
105,6.829403,4.985569,148.189303,0.00025,37.3759,False
106,6.698903,5.014775,144.626254,0.00025,37.3733,False
107,6.795008,4.9253,146.664424,0.00025,36.8924,False
108,6.756281,4.922621,145.916,0.00025,37.2612,False
109,6.695054,5.220157,145.425148,0.00025,37.1922,False
110,6.789918,5.043624,145.613475,0.00025,36.9598,False
111,6.723592,5.026735,144.977441,0.000125,37.2424,False
112,6.742517,5.006481,144.503187,0.000125,37.1099,True
113,6.696012,5.075818,145.211078,0.000125,37.0694,False
114,6.738845,5.032505,144.964966,0.000125,37.3916,False
115,6.681199,5.093845,144.864127,0.000125,37.2456,False
116,6.790186,4.998257,144.41685,0.000125,37.0914,True
117,6.753403,4.93954,145.219767,0.000125,37.2305,False
118,6.688732,5.027718,144.471442,0.000125,36.8735,False
119,6.704302,5.037624,144.595754,0.000125,37.545,False
120,6.71738,5.026769,143.703431,0.000125,37.3078,True
121,6.722894,5.070509,144.66174,0.000125,37.5327,False
122,6.728814,5.006042,144.357839,0.000125,37.6132,False
123,6.703206,5.027613,144.705093,0.000125,37.1397,False
124,6.750339,4.953673,144.195067,0.000125,37.088,False
125,6.697008,4.989104,143.854321,0.000125,39.6926,False
126,6.695508,5.02055,144.312396,0.000125,38.3236,False
127,6.699317,5.040229,144.154843,6.25e-05,36.8189,False
128,6.70485,5.047436,144.508273,6.25e-05,37.3837,False
129,6.722234,5.018794,144.087071,6.25e-05,37.3104,False
130,6.713374,4.992826,144.394786,6.25e-05,37.696,False
131,6.686462,5.039514,144.19775,6.25e-05,38.0114,False
132,6.738282,5.014366,144.132742,6.25e-05,37.4055,False
133,6.708395,5.020236,144.201742,3.125e-05,36.864,False
134,6.696898,5.024889,144.197635,3.125e-05,37.2086,False
135,6.720528,5.020483,144.127227,3.125e-05,37.5684,False
136,6.702177,5.032055,144.154063,3.125e-05,37.7885,False
137,6.693273,5.035803,144.211874,3.125e-05,38.0938,False
138,6.710731,5.031669,144.139429,3.125e-05,38.1401,False
139,6.696907,5.031118,144.137711,1.5625e-05,37.8984,False
140,6.709807,5.024547,144.1187,1.5625e-05,37.9802,False
