epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,6.843263,4.506112,141.924012,0.00025,65.224,True
2,5.196704,3.420989,90.929671,0.00025,64.7407,True
3,4.513794,3.042226,79.845051,0.00025,64.4188,True
4,4.162893,2.868578,71.5992,0.00025,64.937,True
5,3.957977,2.769418,73.867559,0.00025,64.5166,False
6,3.818757,2.647977,72.166084,0.00025,64.5314,False
7,3.652873,2.896633,87.164015,0.00025,64.6567,False
8,3.684532,2.447097,63.101889,0.00025,64.1741,True
9,3.589365,2.478804,63.447058,0.00025,64.2409,False
10,3.514712,2.852978,97.091963,0.00025,64.8342,False
11,3.450619,2.384908,65.347955,0.00025,64.5317,False
12,3.410302,2.407007,60.090596,0.00025,64.4058,True
13,3.324949,2.185948,55.493987,0.00025,64.4955,True
14,3.311326,2.369388,63.228962,0.00025,64.4324,False
15,3.28558,2.279166,62.286328,0.00025,64.462,False
16,3.271746,2.19898,52.776481,0.00025,64.5181,True
17,3.221092,2.205195,61.065555,0.00025,64.3614,False
18,3.205585,2.065879,50.799854,0.00025,64.697,True
19,3.172336,2.492189,69.234783,0.00025,66.3608,False
20,3.085374,2.263526,69.804518,0.00025,64.9242,False
21,3.057466,1.961954,51.38827,0.00025,64.4608,False
22,2.98644,1.933625,51.127169,0.00025,64.7122,False
23,3.05068,2.252653,59.264804,0.00025,64.3979,False
24,2.98825,1.907384,51.280703,0.00025,64.3126,False
25,2.882534,1.92713,51.345937,0.000125,64.3,False
26,2.882441,1.739642,46.600071,0.000125,64.5302,True
27,2.877268,1.803475,45.746419,0.000125,64.855,True
28,2.848879,2.000877,59.295626,0.000125,63.9421,False
29,2.835227,1.945038,51.484532,0.000125,63.7695,False
30,2.837687,1.839647,47.055972,0.000125,63.9428,False
31,2.804391,1.724885,45.366544,0.000125,64.1867,True
32,2.82581,1.674272,43.781439,0.000125,62.4948,True
33,2.787278,1.670038,44.021594,0.000125,59.8769,False
34,2.793225,1.807764,47.35447,0.000125,64.3844,False
35,2.783004,1.686012,43.624302,0.000125,65.3182,True
36,2.793712,1.676879,45.541779,0.000125,64.5032,False
37,2.768627,1.786867,47.969421,0.000125,64.4419,False
38,2.771843,1.802215,45.746992,0.000125,64.1145,False
39,2.785585,1.678969,42.818424,0.000125,63.5427,True
40,2.762438,1.745178,48.429554,0.000125,62.3199,False
41,2.751936,1.772213,44.511293,0.000125,59.2823,False
42,2.738157,1.689269,42.483959,0.000125,59.1712,True
43,2.771165,1.63752,42.379147,0.000125,63.0142,True
44,2.742683,1.707671,42.983499,0.000125,64.8997,False
45,2.753309,1.689699,42.420685,0.000125,64.2694,False
46,2.734575,1.99664,55.299406,0.000125,63.8223,False
47,2.732906,1.670961,41.141277,0.000125,62.9524,True
48,2.718406,1.635794,42.615869,0.000125,63.4805,False
49,2.703143,1.633263,40.3262,0.000125,64.1998,True
50,2.709686,1.608844,40.227205,0.000125,63.8927,True
51,2.70277,1.687055,41.486584,0.000125,63.1062,False
52,2.698879,1.716038,41.963733,0.000125,62.9378,False
53,2.691592,1.620086,41.827943,0.000125,64.1043,False
54,2.702807,1.933268,51.936458,0.000125,62.5095,False
55,2.677297,1.713085,44.503763,0.000125,62.3929,False
56,2.701021,1.662301,42.102477,0.000125,62.5431,False
57,2.617411,1.651149,39.473831,6.25e-05,61.2527,True
58,2.656806,1.588245,40.379533,6.25e-05,59.8448,False
59,2.62644,1.619996,39.78411,6.25e-05,60.243,False
60,2.622091,1.534775,39.13678,6.25e-05,64.4409,True
61,2.631605,1.565054,39.099993,6.25e-05,64.9091,True
62,2.628406,1.57905,38.79512,6.25e-05,64.1158,True
63,2.620314,1.599279,39.776454,6.25e-05,62.7303,False
64,2.627411,1.658588,41.396901,6.25e-05,58.7835,False
65,2.627606,1.570804,38.186631,6.25e-05,58.5423,True
66,2.606372,1.568372,39.233418,6.25e-05,62.0503,False
67,2.611532,1.543118,37.155783,6.25e-05,64.6635,True
68,2.613213,1.61206,39.396316,6.25e-05,63.8316,False
69,2.608045,1.548503,37.521922,6.25e-05,62.5079,False
70,2.60409,1.564243,38.413653,6.25e-05,58.9763,False
71,2.602425,1.577107,39.425996,6.25e-05,58.9182,False
72,2.606295,1.515352,37.461475,6.25e-05,61.459,False
73,2.602017,1.541069,38.378167,6.25e-05,61.1909,False
74,2.574991,1.562023,37.65823,3.125e-05,64.2135,False
75,2.583381,1.559113,37.480372,3.125e-05,64.6362,False
76,2.572942,1.552348,37.77116,3.125e-05,63.7803,False
77,2.573894,1.532311,37.360827,3.125e-05,60.5023,False
78,2.568553,1.532889,36.919923,3.125e-05,59.3079,True
79,2.587901,1.514313,36.638594,3.125e-05,61.5649,True
80,2.574013,1.53161,36.854684,3.125e-05,61.2514,False
81,2.575889,1.557192,37.341349,3.125e-05,63.3022,False
82,2.552471,1.624871,40.564042,3.125e-05,64.8229,False
83,2.578339,1.503942,37.061726,3.125e-05,64.5351,False
84,2.552338,1.576461,39.216482,3.125e-05,62.9135,False
85,2.567025,1.555434,37.277377,3.125e-05,59.5479,False
