epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.967675,6.012384,171.340318,0.001,267.9917,True
2,7.885899,5.870589,169.658363,0.001,313.8734,True
3,7.321219,5.476842,157.762519,0.001,433.0869,True
4,6.882746,5.098026,149.532724,0.001,432.1453,True
5,6.486922,5.18999,160.870194,0.001,424.8708,False
6,6.229815,5.162312,171.856147,0.001,210.4951,False
7,5.980476,5.70412,233.590054,0.001,168.0278,False
8,5.836142,5.410031,189.623763,0.001,351.0698,False
9,5.650117,5.172375,187.864309,0.001,444.0965,False
10,5.532795,5.100104,190.308775,0.001,458.5756,False
11,5.255231,5.381521,204.805879,0.0005,457.663,False
12,5.183933,5.168257,184.588215,0.0005,452.2338,False
13,5.124286,5.365527,205.102625,0.0005,453.0089,False
14,5.07704,5.320013,193.33702,0.0005,452.7114,False
