test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
tfFroz_cP1,1,-2.3875,0.0000,36.5680,33.0290,899.33,-1.1938,34.7985,4.7692,0.0000,30.6068,43.9317,423.3300,2.3846,7.6136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0119,0.0000,41.0296,21.2336,570.00,-1.5060,31.1316,2.4563,0.0000,15.1284,11.8227,450.0000,1.2282,1.6529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3875,0.0000,36.5680,33.0290,899.33,-1.1938,34.7985,4.7692,0.0000,30.6068,43.9317,423.3300,2.3846,7.6136
tfFroz_cP1,2,-0.7940,0.0000,53.7958,27.3975,1094.87,-0.3970,40.5966,1.5647,0.0000,25.2965,40.2074,621.6700,0.7823,7.7059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1658,0.0000,61.2661,29.6378,1472.50,-0.5829,45.4520,1.5128,0.0000,23.9461,35.8344,326.2500,0.7564,5.0255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7940,0.0000,53.7958,27.3975,1094.87,-0.3970,40.5966,1.5647,0.0000,25.2965,40.2074,621.6700,0.7823,7.7059
tfFroz_cP1,3,-0.1194,0.0000,52.8945,35.3858,1113.67,-0.0597,44.1402,0.3742,0.0000,10.2223,41.6093,784.5850,0.1871,18.9487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3109,0.0000,57.2350,38.9808,1162.92,-0.1554,48.1079,0.5400,0.0000,13.0455,45.0953,676.2525,0.2700,15.5199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1194,0.0000,52.8945,35.3858,1113.67,-0.0597,44.1402,0.3742,0.0000,10.2223,41.6093,784.5850,0.1871,18.9487
tfFroz_cP1,4,-9.5013,0.0000,38.1040,33.1104,866.60,-4.7507,35.6072,16.9081,0.0000,39.9605,53.5683,805.7300,8.4540,49.3254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.2657,0.0000,42.9641,36.6570,1011.56,-6.1329,39.8106,20.3531,0.0000,41.9208,43.8387,647.8125,10.1765,46.7839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.5013,0.0000,38.1040,33.1104,866.60,-4.7507,35.6072,16.9081,0.0000,39.9605,53.5683,805.7300,8.4540,49.3254
tfFroz_cP1,5,0.0000,-2.2693,32.8785,34.2228,734.10,-1.1346,33.5507,0.0000,3.1852,21.8960,22.4752,790.8350,1.5926,22.9027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-2.7937,44.5938,36.8659,722.50,-1.3968,40.7299,0.0000,3.2798,37.6659,18.5987,562.5000,1.6399,32.6952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-2.2693,32.8785,34.2228,734.10,-1.1346,33.5507,0.0000,3.1852,21.8960,22.4752,790.8350,1.5926,22.9027
tfFroz_cP1,6,0.0000,0.0304,35.1168,39.9768,529.64,0.0152,37.5468,0.0000,0.7094,26.3530,16.0814,370.5000,0.3547,11.2066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.0360,46.9087,41.1766,482.25,-0.0180,44.0427,0.0000,0.7275,16.2030,14.2809,276.7500,0.3638,17.5130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0304,35.1168,39.9768,529.64,0.0152,37.5468,0.0000,0.7094,26.3530,16.0814,370.5000,0.3547,11.2066
tfFroz_cP1,7,-2.3812,-2.6104,35.7274,37.6354,584.42,-2.4958,36.6814,3.1672,2.3238,20.5892,14.2072,266.2500,1.0597,5.0542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4592,-3.4708,42.4756,41.8756,650.00,-3.4650,42.1756,2.2099,3.2185,12.8251,15.0062,633.7500,0.9201,5.3970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3812,-2.6104,35.7274,37.6354,584.42,-2.4958,36.6814,3.1672,2.3238,20.5892,14.2072,266.2500,1.0597,5.0542
tfFroz_cP1,8,-0.2832,-0.2709,45.8461,46.1660,752.18,-0.2771,46.0060,0.7875,0.7783,15.7226,16.3192,730.7325,0.7160,14.5254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3574,-0.3627,47.0285,47.4820,669.17,-0.3601,47.2553,0.4101,0.6720,9.5594,12.5563,603.7500,0.5074,8.8505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2832,-0.2709,45.8461,46.1660,752.18,-0.2771,46.0060,0.7875,0.7783,15.7226,16.3192,730.7325,0.7160,14.5254
tfFroz_cP1,9,0.0000,0.0000,18.5021,28.7126,NaN,0.0000,23.6074,0.0000,0.0000,16.0050,45.6692,NaN,0.0000,23.6477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,25.5666,34.2371,NaN,0.0000,29.9019,0.0000,0.0000,7.0913,49.8449,NaN,0.0000,26.4196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,18.5021,28.7126,NaN,0.0000,23.6074,0.0000,0.0000,16.0050,45.6692,NaN,0.0000,23.6477
tfFroz_cP2,1,-0.7952,0.0000,26.8202,37.3842,479.50,-0.3976,32.1022,0.6020,0.0000,6.9203,47.5020,155.0000,0.3010,28.4404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.1817,0.0000,35.8596,34.7880,630.00,-1.0908,35.3238,1.9178,0.0000,11.0354,27.6116,420.0000,0.9589,19.3235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7952,0.0000,26.8202,37.3842,479.50,-0.3976,32.1022,0.6020,0.0000,6.9203,47.5020,155.0000,0.3010,28.4404
